A,F,ERN,TOTAL,GE10,OC1,NAC,FI	39.92 
A,F,ERN,TOTAL,GE10,OC1,NAC,FR	31.96 
A,F,ERN,TOTAL,GE10,OC1,NAC,HR	100.5 
A,F,ERN,TOTAL,GE10,OC1,NAC,HU	4512.62 
A,F,ERN,TOTAL,GE10,OC1,NAC,IE	37.63 
A,F,ERN,TOTAL,GE10,OC1,NAC,IS	6594.68 
A,F,ERN,TOTAL,GE10,OC1,NAC,IT	32.77 
A,F,ERN,TOTAL,GE10,OC1,NAC,LT	17.04 
A,F,ERN,TOTAL,GE10,OC1,NAC,LU	49.58 
A,F,ERN,TOTAL,GE10,OC1,NAC,LV	13.35 
A,F,ERN,TOTAL,GE10,OC1,NAC,MT	20.29 
A,F,ERN,TOTAL,GE10,OC1,NAC,NL	33.42 
A,F,ERN,TOTAL,GE10,OC1,NAC,NO	428.9 
A,F,ERN,TOTAL,GE10,OC1,NAC,PL	61.1 
A,F,ERN,TOTAL,GE10,OC1,NAC,PT	18.09 
A,F,ERN,TOTAL,GE10,OC1,NAC,RO	64.28 
A,F,ERN,TOTAL,GE10,OC1,NAC,RS	978.06 
A,F,ERN,TOTAL,GE10,OC1,NAC,SE	357.67 
A,F,ERN,TOTAL,GE10,OC1,NAC,SI	22.84 
A,F,ERN,TOTAL,GE10,OC1,NAC,SK	13.88 
A,F,ERN,TOTAL,GE10,OC1,PPS,AL	14.5 
A,F,ERN,TOTAL,GE10,OC1,PPS,AT	28.8 
A,F,ERN,TOTAL,GE10,OC1,PPS,BA	16.92 
A,F,ERN,TOTAL,GE10,OC1,PPS,BE	44.76 
A,F,ERN,TOTAL,GE10,OC1,PPS,BG	18.43 
A,F,ERN,TOTAL,GE10,OC1,PPS,CH	39.25 
A,F,ERN,TOTAL,GE10,OC1,PPS,CY	31.67 
A,F,ERN,TOTAL,GE10,OC1,PPS,CZ	20.01 
A,F,ERN,TOTAL,GE10,OC1,PPS,DE	33.08 
A,F,ERN,TOTAL,GE10,OC1,PPS,DK	35.96 
A,F,ERN,TOTAL,GE10,OC1,PPS,EA19	29.12 
A,F,ERN,TOTAL,GE10,OC1,PPS,EA20	29.04 
A,F,ERN,TOTAL,GE10,OC1,PPS,EE	16.69 
A,F,ERN,TOTAL,GE10,OC1,PPS,EL	20.85 
A,F,ERN,TOTAL,GE10,OC1,PPS,ES	24.92 
A,F,ERN,TOTAL,GE10,OC1,PPS,EU27_2020	26.94 
A,F,ERN,TOTAL,GE10,OC1,PPS,FI	32.19 
A,F,ERN,TOTAL,GE10,OC1,PPS,FR	29.42 
A,F,ERN,TOTAL,GE10,OC1,PPS,HR	18.38 
A,F,ERN,TOTAL,GE10,OC1,PPS,HU	17.85 
A,F,ERN,TOTAL,GE10,OC1,PPS,IE	31.66 
A,F,ERN,TOTAL,GE10,OC1,PPS,IS	29.59 
