geo,nace_r2,real_wage,year
AT,B,26.182354568083337,2020
AT,B,25.838865960882828,2021
AT,B,24.118278681754358,2022
AT,B,24.309815950920242,2023
AT,B,25.855003352954327,2024
AT,B,26.185166534781672,2025
AT,C,27.10426846132571,2020
AT,C,26.736048806746815,2021
AT,C,26.183199801767575,2022
AT,C,26.07361963190184,2023
AT,C,26.898144698606664,2024
AT,C,27.12035105388102,2025
AT,D,38.81257490550383,2020
AT,D,37.23308810335546,2021
AT,D,36.42520855703312,2022
AT,D,36.04294478527607,2023
AT,D,37.180537962893965,2024
AT,D,37.33544349327387,2025
AT,E,22.494698995113854,2020
AT,E,21.44267001614929,2021
AT,E,20.97959857933427,2022
AT,E,20.935582822085887,2023
AT,E,21.83145816258103,2024
AT,E,21.86893029278469,2025
AT,F,22.95565594173504,2020
AT,F,22.429571146599677,2021
AT,F,21.805567027339556,2022
AT,F,20.322085889570552,2023
AT,F,20.043215855748453,2024
AT,F,20.4301848787857,2025
AT,G,22.03374204849267,2020
AT,G,21.352951731562893,2021
AT,G,20.649211200132157,2022
AT,G,20.475460122699385,2023
AT,G,21.68243797034498,2024
AT,G,21.653118480684846,2025
AT,H,22.218124827141146,2020
AT,H,21.71182486990849,2021
AT,H,21.392582803336914,2022
AT,H,22.00920245398773,2023
AT,H,22.278518739289172,2024
AT,H,22.660240270484138,2025
AT,I,13.644325619987093,2020
AT,I,12.829714695855015,2021
AT,I,12.967704633682994,2022
AT,I,12.883435582822086,2023
AT,I,13.26279710900827,2024
AT,I,13.811955974390333,2025
AT,J,33.92643127131926,2020
AT,J,31.40139960523955,2021
AT,J,31.139010489799297,2022
AT,J,30.59815950920245,2023
AT,J,32.70993219581253,2024
AT,J,32.73145816847709,2025
AT,K,37.982852401585696,2020
AT,K,37.95083438004666,2021
AT,K,34.773271661022555,2022
AT,K,35.65950920245399,2023
AT,K,36.43543700171373,2024
AT,K,35.89669807927488,2025
AT,L,26.182354568083337,2020
AT,L,24.851964830432443,2021
AT,L,22.30114809614273,2022
AT,L,21.779141104294478,2023
AT,L,24.960882199538037,2024
AT,L,27.623911948780666,2025
AT,M,31.529455148889095,2020
AT,M,29.51731562892517,2021
AT,M,30.147848352192945,2022
AT,M,30.67484662576687,2023
AT,M,30.92168988897995,2024
AT,M,31.220775483778144,2025
AT,N,17.792938139577764,2020
AT,N,18.302530055625336,2021
AT,N,17.675724787313126,2022
AT,N,17.33128834355828,2023
AT,N,17.509872587735636,2024
AT,N,17.264944967987915,2025
AT,P,26.090163178759106,2020
AT,P,24.941683115018844,2021
AT,P,24.531262905757,2022
AT,P,23.849693251533743,2023
AT,P,24.960882199538037,2024
AT,P,24.746421120782678,2025
AT,Q,24.154144002950122,2020
AT,Q,23.68562713080926,2021
AT,Q,22.63153547534484,2022
AT,Q,22.546012269938647,2023
AT,Q,24.14127114223977,2024
AT,Q,24.170922955183084,2025
AT,R,25.260440674840968,2020
AT,R,21.53238830073569,2021
AT,R,22.2185512513422,2022
AT,R,21.39570552147239,2023
AT,R,22.20400864317115,2024
AT,R,20.93374577368535,2025
AT,S,21.849359269844197,2020
AT,S,22.96788085411807,2021
AT,S,21.888163872140083,2022
AT,S,21.932515337423315,2023
AT,S,23.02361970046941,2024
AT,S,23.739299330983386,2025
BG,B,7.622094664533735,2020
BG,B,8.051235132662397,2021
BG,B,8.58160621761658,2022
BG,B,8.497950055907566,2023
BG,B,8.864346436096781,2024
BG,B,9.403508771929825,2025
BG,C,4.4226969041121675,2020
BG,C,4.6660567246111615,2021
BG,C,4.857512953367875,2022
BG,C,5.218039508013417,2023
BG,C,5.740027610259391,2024
BG,C,6.315789473684211,2025
BG,D,8.751293874094289,2020
BG,D,8.966148215919487,2021
BG,D,9.39119170984456,2022
BG,D,9.914275065225494,2023
BG,D,10.39017656034295,2024
BG,D,10.87719298245614,2025
BG,E,3.952197233461937,2020
BG,E,4.025617566331198,2021
BG,E,3.9669689119170988,2022
BG,E,4.174431606410734,2023
BG,E,4.650148950083557,2024
BG,E,5.192982456140351,2025
BG,F,4.234497035852075,2020
BG,F,4.574565416285453,2021
BG,F,4.533678756476684,2022
BG,F,4.845322400298174,2023
BG,F,5.59471045556928,2024
BG,F,6.385964912280702,2025
BG,G,4.799096640632351,2020
BG,G,4.94053064958829,2021
BG,G,5.100388601036269,2022
BG,G,5.3671263510995155,2023
BG,G,6.1033204969846695,2024
BG,G,6.5964912280701755,2025
BG,H,4.704996706502305,2020
BG,H,4.6660567246111615,2021
BG,H,4.69559585492228,2022
BG,H,5.292582929556467,2023
BG,H,5.958003342294558,2024
BG,H,6.4561403508771935,2025
BG,I,3.1052978262915216,2020
BG,I,3.2936870997255263,2021
BG,I,3.562176165803109,2022
BG,I,3.876257920238539,2023
BG,I,4.577490372738502,2024
BG,I,4.842105263157895,2025
BG,J,11.574291897995673,2020
BG,J,12.534309240622141,2021
BG,J,12.710492227979275,2022
BG,J,13.119642191576594,2023
BG,J,13.950446850250673,2024
BG,J,15.017543859649122,2025
BG,K,7.8102945327938285,2020
BG,K,7.685269899359562,2021
BG,K,7.9339378238341975,2022
BG,K,8.125232948192322,2023
BG,K,8.791687858751725,2024
BG,K,9.824561403508772,2025
BG,L,4.704996706502305,2020
BG,L,4.84903934126258,2021
BG,L,4.69559585492228,2022
BG,L,4.696235557212076,2023
BG,L,5.59471045556928,2024
BG,L,6.385964912280702,2025
BG,M,8.186694269314012,2020
BG,M,8.508691674290942,2021
BG,M,8.500647668393782,2022
BG,M,8.945210585165858,2023
BG,M,10.026883673617672,2024
BG,M,11.087719298245615,2025
BG,N,3.669897431071798,2020
BG,N,4.117108874656908,2021
BG,N,4.3717616580310885,2022
BG,N,4.547148714125978,2023
BG,N,5.086100414153891,2024
BG,N,5.75438596491228,2025
BG,O,5.551896113672721,2020
BG,O,6.221408966148216,2021
BG,O,6.233808290155441,2022
BG,O,6.485277674245247,2023
BG,O,7.338516311850614,2024
BG,O,8.0,2025
BG,P,5.83419591606286,2020
BG,P,6.404391582799635,2021
BG,P,6.314766839378239,2022
BG,P,6.783451360417443,2023
BG,P,7.556492043885782,2024
BG,P,8.350877192982455,2025
BG,Q,5.363696245412629,2020
BG,Q,6.312900274473926,2021
BG,Q,5.829015544041451,2022
BG,Q,5.814386880357808,2023
BG,Q,6.466613383709947,2024
BG,Q,7.017543859649122,2025
BG,R,4.4226969041121675,2020
BG,R,4.94053064958829,2021
BG,R,5.181347150259068,2022
BG,R,5.292582929556467,2023
BG,R,6.1033204969846695,2024
BG,R,6.947368421052631,2025
BG,S,3.8580972993318903,2020
BG,S,4.117108874656908,2021
BG,S,4.128886010362694,2022
BG,S,4.248975027953783,2023
BG,S,5.086100414153891,2024
BG,S,5.543859649122807,2025
CY,B,13.645028594361392,2020
