geo,nace_r2,year,FSI
CH,E,2022,13.279560465252208
CH,E,2023,13.48237709592791
CH,E,2024,13.258086253369273
CH,F,2021,0.0
CH,F,2022,14.125765115969777
CH,F,2023,14.25924278355734
CH,F,2024,13.906833582734162
CH,G,2021,0.0
CH,G,2022,39.91042379684793
CH,G,2023,39.46737376451172
CH,G,2024,39.00192585620496
CH,H,2021,0.0
CH,H,2022,63.197422191640584
CH,H,2023,63.619037513467624
CH,H,2024,63.99708155860546
CH,I,2021,0.0
CH,I,2022,13.373419902935233
CH,I,2023,14.395349441188438
CH,I,2024,15.29052237981664
CH,J,2021,0.0
CH,J,2022,36.02148924037336
CH,J,2023,36.80574885676144
CH,J,2024,36.293436293436294
CH,K,2021,
CH,K,2022,
CH,K,2023,
CH,K,2024,
CH,L,2021,0.0
CH,L,2022,12.536283185840707
CH,L,2023,10.668526104767716
CH,L,2024,11.007361555543898
CH,M,2021,0.0
CH,M,2022,17.5262067569041
CH,M,2023,18.52526941264874
CH,M,2024,18.763983507957853
CH,N,2021,0.0
CH,N,2022,51.586936377561635
CH,N,2023,51.64956299566922
CH,N,2024,50.386042463185596
CH,P,2021,0.0
CH,P,2022,26.223224117512622
CH,P,2023,25.790064864755468
CH,P,2024,25.756032940199503
CH,Q,2021,0.0
CH,Q,2022,24.95353406616749
CH,Q,2023,28.189941216556168
CH,Q,2024,29.837738168408112
CH,R,2021,0.0
CH,R,2022,19.537636989040877
CH,R,2023,21.176385472435246
CH,R,2024,22.075064074178442
CY,B,2021,0.0
CY,B,2022,0.0
CY,B,2023,0.0
CY,B,2024,0.0
CY,C,2021,18.682891911238368
CY,C,2022,19.58677243005681
CY,C,2023,19.474452554744527
CY,C,2024,20.394911211237744
CY,D,2021,0.0
CY,D,2022,0.0
CY,D,2023,0.0
CY,D,2024,0.0
CY,E,2021,0.0
CY,E,2022,0.0
CY,E,2023,0.0
CY,E,2024,0.0
CY,F,2021,4.030851411751881
CY,F,2022,3.028769312733085
CY,F,2023,0.0
CY,F,2024,2.435961828227022
CY,G,2021,15.557309241319256
CY,G,2022,15.9768462968579
CY,G,2023,16.23872042136246
CY,G,2024,16.730863056261715
CY,H,2021,21.112199368810533
CY,H,2022,25.176224042674793
CY,H,2023,26.3404292906987
CY,H,2024,23.207415180132916
CY,I,2021,25.863460639789288
CY,I,2022,27.13976877526083
CY,I,2023,26.80576445486026
CY,I,2024,25.640937343962534
CY,J,2021,31.718863801893665
CY,J,2022,29.464370209141666
CY,J,2023,30.954640349212376
CY,J,2024,25.67139757407605
CY,K,2021,37.42559523809524
CY,K,2022,35.02902014339365
CY,K,2023,32.62298698433708
CY,K,2024,34.344000690071596
CY,L,2021,0.0
CY,L,2022,0.0
CY,L,2023,0.0
CY,L,2024,0.0
CY,M,2021,9.135523903539697
CY,M,2022,10.227982510930667
CY,M,2023,9.762994560138033
CY,M,2024,9.31180579411428
CY,N,2021,22.69831730769231
CY,N,2022,23.34494773519164
CY,N,2023,24.394869491440836
CY,N,2024,23.49291203283853
CY,P,2021,18.326693227091635
CY,P,2022,19.797199420569772
CY,P,2023,19.17954182205647
CY,P,2024,17.30093676814988
CY,Q,2021,9.72065356524358
CY,Q,2022,0.0
CY,Q,2023,12.348604528699315
CY,Q,2024,15.129495062418483
CY,R,2021,0.0
CY,R,2022,0.0
CY,R,2023,0.0
CY,R,2024,0.0
CZ,B,2021,77.2997409458018
CZ,B,2022,77.43416539131353
CZ,B,2023,0.0
CZ,B,2024,76.559650770846
CZ,C,2021,45.61552439015835
CZ,C,2022,46.132505233905455
CZ,C,2023,45.70580598748595
CZ,C,2024,45.09976253120583
CZ,D,2021,58.855765015344154
CZ,D,2022,56.35710471382106
CZ,D,2023,55.548428479794744
CZ,D,2024,56.44461219097943
CZ,E,2021,37.38778132752682
CZ,E,2022,37.67547629279473
CZ,E,2023,37.71318718143177
CZ,E,2024,38.999143346659054
CZ,F,2021,8.854741042247309
CZ,F,2022,8.226238696019287
CZ,F,2023,8.242933905207103
CZ,F,2024,8.191097111322735
CZ,G,2021,27.898508322000133
CZ,G,2022,28.515479023990377
CZ,G,2023,28.773819029327345
CZ,G,2024,28.78746219411603
CZ,H,2021,44.09269918206604
CZ,H,2022,43.15889537497469
CZ,H,2023,42.408653256887604
CZ,H,2024,42.05344441841595
CZ,I,2021,8.362269211427478
CZ,I,2022,9.691461946246928
CZ,I,2023,10.262098339563206
CZ,I,2024,10.766573901948059
CZ,J,2021,35.75839268474836
CZ,J,2022,36.03325401992245
CZ,J,2023,35.71901295263307
CZ,J,2024,35.49273347088903
CZ,K,2021,60.1395513160219
CZ,K,2022,57.910521830127415
CZ,K,2023,57.648985629754854
CZ,K,2024,57.641419993679555
CZ,L,2021,3.262640543997845
CZ,L,2022,2.7416736917598805
CZ,L,2023,2.3278588876256516
CZ,L,2024,2.878787878787879
CZ,M,2021,9.254518246414968
CZ,M,2022,9.854816855534564
CZ,M,2023,9.862365821632906
CZ,M,2024,10.098441319222031
CZ,N,2021,36.16256662885204
CZ,N,2022,35.07874150761505
CZ,N,2023,35.442457588262265
CZ,N,2024,35.8415908426035
CZ,P,2021,0.0
CZ,P,2022,0.0
CZ,P,2023,0.0
CZ,P,2024,0.0
CZ,Q,2021,20.16677005640752
CZ,Q,2022,21.009215378384717
CZ,Q,2023,21.459478505990134
CZ,Q,2024,20.70035666311548
CZ,R,2021,13.08781706931717
CZ,R,2022,13.955497947720891
CZ,R,2023,15.13763854920123
CZ,R,2024,15.098024487343197
DE,B,2021,32.98906917612519
DE,B,2022,30.995968880786712
DE,B,2023,36.12416657558203
DE,B,2024,36.206035726173305
DE,C,2021,61.0895520330979
DE,C,2022,61.66174061791653
DE,C,2023,63.2214233073361
DE,C,2024,63.65368128179869
DE,D,2021,57.80116607965881
DE,D,2022,57.28507390475814
DE,D,2023,56.45523759269554
DE,D,2024,58.486511527638584
DE,E,2021,52.619530381319905
DE,E,2022,52.343613135134085
DE,E,2023,51.19493784475705
DE,E,2024,52.20859153246769
DE,F,2021,11.47267546674
DE,F,2022,12.009992050960179
DE,F,2023,13.406784126423718
DE,F,2024,13.793523691558661
DE,G,2021,40.66896322650033
DE,G,2022,40.470861577165024
DE,G,2023,42.154722990368725
DE,G,2024,42.35418279577417
DE,H,2021,52.780800086484525
DE,H,2022,52.99101625110823
DE,H,2023,48.990269842140336
DE,H,2024,48.69400210172872
DE,I,2021,11.21851816791307
DE,I,2022,12.728268297675205
DE,I,2023,16.04770573682491
DE,I,2024,16.12814890998053
DE,J,2021,47.99689655016219
DE,J,2022,47.10264758171799
DE,J,2023,47.48461983132539
DE,J,2024,46.80774293901464
DE,K,2021,67.89429713138108
DE,K,2022,67.68467982020898
DE,K,2023,68.64586206740618
DE,K,2024,67.81180713553186
DE,L,2021,11.608019212697087
DE,L,2022,13.319363327029793
DE,L,2023,14.140470099758184
DE,L,2024,12.717902012787052
DE,M,2021,24.110493777909035
DE,M,2022,24.090740874393635
DE,M,2023,26.432563438288327
DE,M,2024,26.779132459438244
DE,N,2021,48.79524459481798
DE,N,2022,47.587701027505005
DE,N,2023,47.11861696636089
DE,N,2024,45.53288605576477
DE,P,2021,36.00329396328469
DE,P,2022,32.31150234381341
DE,P,2023,33.75227328263093
DE,P,2024,33.761429682571766
DE,Q,2021,53.570461713688836
DE,Q,2022,54.56224101591043
DE,Q,2023,56.36852452934844
DE,Q,2024,56.49671430240011
DE,R,2021,18.39243878910377
DE,R,2022,18.600219475493
DE,R,2023,20.871023756188674
DE,R,2024,21.445392157481706
DK,B,2021,0.0
DK,B,2022,50.47029702970297
DK,B,2023,49.1263105341987
DK,B,2024,47.476776299271904
DK,C,2021,48.13914647522186
DK,C,2022,49.42320275595844
DK,C,2023,50.38080506323135
DK,C,2024,51.34722105865258
DK,D,2021,53.98409480742242
DK,D,2022,53.59370938393554
DK,D,2023,55.67786139503538
DK,D,2024,56.14431824022203
DK,E,2021,0.0
DK,E,2022,40.699183268452785
DK,E,2023,44.91974672360477
DK,E,2024,46.306281072754004
