geo,nace_r2,training_ict,year
EE,N,18.89,2022
EE,N,21.045,2023
EE,N,23.2,2024
ES,C,18.04,2020
ES,C,17.515,2021
ES,C,16.99,2022
ES,C,18.07,2023
ES,C,19.15,2024
ES,F,13.04,2020
ES,F,12.91,2021
ES,F,12.78,2022
ES,F,12.58,2023
ES,F,12.38,2024
ES,G,20.72,2020
ES,G,21.740000000000002,2021
ES,G,22.76,2022
ES,G,22.39,2023
ES,G,22.02,2024
ES,H,18.99,2020
ES,H,16.919999999999998,2021
ES,H,14.85,2022
ES,H,17.02,2023
ES,H,19.19,2024
ES,I,14.77,2020
ES,I,12.645,2021
ES,I,10.52,2022
ES,I,11.3,2023
ES,I,12.08,2024
ES,J,46.39,2020
ES,J,54.125,2021
ES,J,61.86,2022
ES,J,58.644999999999996,2023
ES,J,55.43,2024
ES,N,17.29,2020
ES,N,17.814999999999998,2021
ES,N,18.34,2022
ES,N,18.91,2023
ES,N,19.48,2024
FI,C,38.88,2020
FI,C,39.725,2021
FI,C,40.57,2022
FI,C,38.025,2023
FI,C,35.48,2024
FI,F,23.07,2020
FI,F,22.795,2021
FI,F,22.52,2022
FI,F,22.689999999999998,2023
FI,F,22.86,2024
FI,G,36.78,2020
FI,G,42.575,2021
FI,G,48.37,2022
FI,G,45.485,2023
FI,G,42.6,2024
FI,H,26.62,2020
FI,H,22.47,2021
FI,H,18.32,2022
FI,H,18.465,2023
FI,H,18.61,2024
FI,J,75.13,2020
FI,J,76.35499999999999,2021
FI,J,77.58,2022
FI,J,78.06,2023
FI,J,78.54,2024
FI,N,37.18,2020
FI,N,37.980000000000004,2021
FI,N,38.78,2022
FI,N,39.5,2023
FI,N,40.22,2024
FR,C,15.91,2020
FR,C,16.240000000000002,2021
FR,C,16.57,2022
FR,C,15.585,2023
FR,C,14.6,2024
FR,F,8.73,2020
FR,F,7.37,2021
FR,F,6.01,2022
FR,F,6.715,2023
FR,F,7.42,2024
FR,G,11.73,2020
FR,G,12.665,2021
FR,G,13.6,2022
FR,G,12.094999999999999,2023
FR,G,10.59,2024
FR,H,14.25,2020
FR,H,10.985,2021
FR,H,7.72,2022
FR,H,9.14,2023
FR,H,10.56,2024
FR,I,4.27,2020
FR,I,5.24,2021
FR,I,6.21,2022
FR,I,4.62,2023
FR,I,3.03,2024
FR,J,50.75,2020
FR,J,54.22,2021
FR,J,57.69,2022
FR,J,54.765,2023
FR,J,51.84,2024
FR,N,14.23,2020
FR,N,13.89,2021
FR,N,13.55,2022
FR,N,14.64,2023
FR,N,15.73,2024
HR,C,19.05,2020
HR,C,18.655,2021
HR,C,18.26,2022
HR,C,17.590000000000003,2023
HR,C,16.92,2024
HR,F,9.07,2020
HR,F,7.905,2021
HR,F,6.74,2022
HR,F,7.09,2023
HR,F,7.44,2024
HR,G,25.05,2020
HR,G,23.325000000000003,2021
HR,G,21.6,2022
HR,G,22.200000000000003,2023
HR,G,22.8,2024
HR,H,17.12,2020
HR,H,16.41,2021
HR,H,15.7,2022
HR,H,15.66,2023
HR,H,15.62,2024
HR,I,12.18,2020
HR,I,14.075,2021
HR,I,15.97,2022
HR,I,11.995000000000001,2023
