geo,nace_r2,real_wage,year,log_wage,ai_adoption,tert_edu,productivity,log_prod,spec_ict,training_ict
LV,N,6.21,2023,1.83,6.6,26.6,29.3,3.38,15.98,14.16
MT,C,12.98,2021,2.56,6.23,23.1,43.6,3.78,24.54,19.62
MT,C,13.5,2023,2.6,10.06,22.7,50.13,3.91,28.48,21.64
MT,C,14.61,2025,2.68,17.57,24.3,51.34,3.94,29.29,28.55
MT,F,10.46,2021,2.35,7.62,9.8,38.05,3.64,9.59,8.99
MT,F,9.92,2023,2.29,9.05,15.4,40.41,3.7,18.47,14.18
MT,F,9.45,2025,2.25,10.61,23.8,40.39,3.7,16.14,12.55
MT,G,12.32,2021,2.51,7.12,15.3,31.86,3.46,25.25,26.1
MT,G,11.42,2023,2.44,9.44,17.5,37.52,3.62,29.11,23.6
MT,G,11.83,2025,2.47,14.75,22.2,38.3,3.65,28.59,25.12
MT,H,15.03,2021,2.71,15.0,20.8,44.32,3.79,23.58,31.94
MT,H,16.58,2023,2.81,16.45,27.0,67.7,4.22,31.57,32.78
MT,H,14.93,2025,2.7,18.55,29.4,79.53,4.38,33.95,33.95
MT,J,21.1,2021,3.05,25.35,51.8,132.0,4.88,76.9,68.6
MT,J,18.5,2023,2.92,35.29,54.0,169.05,5.13,82.46,68.68
MT,J,17.95,2025,2.89,60.4,58.2,188.54,5.24,87.43,78.7
MT,N,10.92,2021,2.39,8.64,24.2,38.75,3.66,29.69,26.71
MT,N,11.25,2023,2.42,12.39,32.5,45.35,3.81,34.72,34.95
MT,N,10.41,2025,2.34,23.2,20.8,45.09,3.81,32.06,34.3
NL,F,26.73,2021,3.29,7.39,22.0,75.42,4.32,11.95,15.16
NL,F,25.12,2023,3.22,4.72,23.5,82.46,4.41,14.88,18.32
NL,F,26.5,2025,3.28,21.29,25.1,92.1,4.52,14.9,18.77
NO,C,35.84,2021,3.58,9.35,31.3,110.99,4.71,18.8,33.46
NO,C,30.47,2023,3.42,8.35,31.5,114.88,4.74,19.85,36.6
NO,C,31.75,2025,3.46,25.98,31.4,122.54,4.81,17.77,31.32
NO,D,45.48,2021,3.82,31.78,60.3,688.94,6.54,47.33,61.28
NO,D,39.82,2023,3.68,34.1,69.8,636.58,6.46,63.61,74.38
NO,D,41.67,2025,3.73,64.42,66.6,541.52,6.29,62.5,74.01
NO,F,31.06,2021,3.44,5.18,22.6,88.19,4.48,5.9,24.53
NO,F,26.37,2023,3.27,3.65,21.4,84.14,4.43,7.42,26.25
NO,F,27.44,2025,3.31,19.01,21.6,88.2,4.48,5.4,19.13
NO,G,34.04,2021,3.53,8.16,25.7,78.77,4.37,13.74,29.92
NO,G,28.57,2023,3.35,6.74,24.5,74.95,4.32,18.95,31.95
NO,G,29.6,2025,3.39,23.68,27.0,84.5,4.44,25.59,34.08
NO,H,34.39,2021,3.54,3.44,23.8,86.35,4.46,12.21,26.79
NO,H,29.94,2023,3.4,5.38,27.8,112.17,4.72,15.39,24.78
NO,H,32.4,2025,3.48,20.52,27.2,108.38,4.69,12.2,18.63
NO,I,23.29,2021,3.15,2.29,24.0,43.31,3.77,8.91,19.18
NO,I,18.54,2023,2.92,5.11,25.8,49.18,3.9,9.21,20.3
NO,I,19.61,2025,2.98,12.39,26.4,53.39,3.98,9.11,14.14
NO,J,48.38,2021,3.88,41.95,69.1,149.76,5.01,65.86,71.97
NO,J,41.72,2023,3.73,31.55,70.8,141.78,4.95,74.2,73.67
NO,J,43.32,2025,3.77,78.31,76.2,155.41,5.05,72.05,71.04
NO,L,45.9,2021,3.83,12.87,54.3,1360.55,7.22,19.66,41.15
NO,L,37.61,2023,3.63,6.06,39.0,1315.78,7.18,26.43,49.95
NO,L,40.23,2025,3.69,36.25,52.7,1408.81,7.25,17.71,35.48
NO,M,46.33,2021,3.84,22.54,76.0,116.12,4.75,18.85,39.45
NO,M,39.74,2023,3.68,19.33,80.7,115.14,4.75,25.33,47.88
NO,M,41.81,2025,3.73,55.22,82.6,120.85,4.79,30.89,47.64
NO,N,30.29,2021,3.41,14.59,31.4,77.8,4.35,14.25,33.75
NO,N,25.3,2023,3.23,8.92,29.9,76.94,4.34,15.34,31.87
NO,N,27.44,2025,3.31,32.13,36.8,81.08,4.4,17.18,26.73
PL,C,7.52,2021,2.02,2.33,22.7,30.46,3.42,27.28,16.14
PL,C,7.53,2023,2.02,2.86,26.9,40.3,3.7,32.05,22.75
PL,D,11.29,2021,2.42,4.75,42.3,75.2,4.32,38.31,35.59
PL,D,11.5,2023,2.44,7.58,43.6,125.63,4.83,49.04,53.95
PL,E,7.09,2021,1.96,0.84,26.7,38.72,3.66,29.35,20.82
PL,E,6.97,2023,1.94,2.31,27.7,42.98,3.76,37.57,31.56
PL,F,7.17,2021,1.97,0.35,18.0,26.84,3.29,14.38,8.42
PL,F,6.9,2023,1.93,1.23,22.0,37.19,3.62,19.78,11.13
PL,G,7.0,2021,1.95,3.1,25.5,34.08,3.53,23.18,18.62
PL,G,6.97,2023,1.94,3.99,28.9,41.21,3.72,29.2,26.67
PL,H,6.82,2021,1.92,1.85,21.8,26.65,3.28,16.08,11.45
PL,H,7.8,2023,2.05,1.84,23.9,41.66,3.73,25.32,19.13
PL,I,5.69,2021,1.74,0.99,17.6,17.54,2.86,14.44,12.88
PL,I,5.78,2023,1.75,1.65,17.4,26.36,3.27,22.17,20.83
PL,J,13.47,2021,2.6,16.35,77.3,47.03,3.85,81.65,61.3
PL,J,13.38,2023,2.59,17.56,79.1,50.54,3.92,84.35,71.25
PL,L,7.79,2021,2.05,1.76,48.5,200.83,5.3,23.72,18.4
PL,L,7.67,2023,2.04,2.39,52.2,247.02,5.51,30.37,27.89
PL,M,10.76,2021,2.38,6.48,77.4,38.6,3.65,33.83,25.62
PL,M,10.66,2023,2.37,9.05,79.5,47.68,3.86,43.31,38.83
PL,N,6.56,2021,1.88,4.16,20.5,32.58,3.48,24.04,18.66
PL,N,6.83,2023,1.92,4.8,25.8,38.75,3.66,31.28,27.26
PT,C,10.14,2021,2.32,8.58,15.8,36.96,3.61,18.18,19.69
PT,C,9.92,2023,2.29,8.74,17.4,44.59,3.8,20.11,18.31
PT,D,22.29,2021,3.1,20.37,39.7,371.3,5.92,47.78,40.34
PT,D,23.28,2023,3.15,20.89,47.9,322.38,5.78,49.51,47.92
PT,E,9.09,2021,2.21,9.51,23.1,43.78,3.78,27.16,32.01
PT,E,8.74,2023,2.17,7.92,27.0,43.44,3.77,28.14,38.02
PT,F,8.9,2021,2.19,1.06,13.7,25.09,3.22,10.4,13.53
PT,F,8.57,2023,2.15,2.92,14.2,30.5,3.42,8.91,14.17
PT,G,11.19,2021,2.42,6.63,21.1,33.67,3.52,21.4,25.76
PT,G,11.01,2023,2.4,6.94,23.4,39.4,3.67,19.41,26.3
PT,H,14.35,2021,2.66,7.38,16.4,41.39,3.72,17.89,15.85
PT,H,13.78,2023,2.62,8.26,16.6,56.96,4.04,14.75,26.28
PT,I,9.56,2021,2.26,4.4,12.2,24.45,3.2,11.93,10.91
PT,I,8.07,2023,2.09,5.26,13.1,38.12,3.64,11.48,17.86
PT,N,6.89,2021,1.93,10.81,21.5,20.23,3.01,29.51,32.41
PT,N,6.81,2023,1.92,10.29,23.6,25.49,3.24,29.67,27.2
RO,C,5.99,2021,1.79,1.28,12.7,25.54,3.24,15.43,4.58
RO,C,6.42,2023,1.86,1.34,13.6,30.32,3.41,9.35,6.54
RO,D,9.98,2021,2.3,1.84,30.0,68.13,4.22,41.45,14.8
RO,D,11.23,2023,2.42,5.61,36.4,112.44,4.72,39.34,22.63
RO,E,5.47,2021,1.7,0.59,13.9,18.06,2.89,16.19,5.69
RO,E,5.86,2023,1.77,0.58,14.5,26.37,3.27,15.36,8.7
RO,F,5.29,2021,1.67,0.05,13.1,20.34,3.01,14.63,2.72
RO,F,6.0,2023,1.79,0.13,12.4,32.31,3.48,5.55,6.01
RO,G,6.16,2021,1.82,0.6,18.8,23.24,3.15,12.2,4.95
RO,G,6.64,2023,1.89,1.29,16.5,29.99,3.4,8.0,7.08
RO,H,6.34,2021,1.85,0.31,11.8,24.51,3.2,13.58,3.56
RO,H,6.99,2023,1.94,0.36,10.3,36.61,3.6,8.32,6.68
RO,I,4.08,2021,1.41,0.27,10.6,14.65,2.68,10.26,4.34
RO,I,4.45,2023,1.49,0.06,7.8,23.09,3.14,9.1,2.44
RO,J,13.37,2021,2.59,8.8,74.6,79.53,4.38,53.4,34.4
RO,J,14.69,2023,2.69,8.12,75.4,124.96,4.83,59.51,44.16
RO,L,5.47,2021,1.7,0.39,46.5,685.44,6.53,7.84,4.3
RO,L,6.0,2023,1.79,0.0,37.7,704.67,6.56,7.44,6.57
RO,M,9.89,2021,2.29,6.68,80.1,62.48,4.13,27.64,13.42
RO,M,10.24,2023,2.33,7.21,78.7,95.27,4.56,26.23,20.51
RO,N,5.12,2021,1.63,3.04,15.4,29.43,3.38,14.31,4.19
RO,N,5.72,2023,1.74,1.57,17.6,40.1,3.69,11.35,9.8
SE,C,27.88,2021,3.33,8.87,30.6,125.0,4.83,22.25,39.09
SE,C,23.09,2023,3.14,7.47,33.3,124.88,4.83,22.27,38.58
SE,D,30.86,2021,3.43,25.06,50.2,403.74,6.0,51.66,57.34
SE,D,25.86,2023,3.25,20.1,48.4,382.47,5.95,65.21,73.75
SE,E,24.35,2021,3.19,9.58,29.7,101.75,4.62,17.51,29.86
SE,E,19.93,2023,2.99,7.83,21.8,99.88,4.6,22.11,38.41
SE,F,24.53,2021,3.2,2.32,16.7,82.25,4.41,5.81,19.4
SE,F,20.72,2023,3.03,2.78,19.6,78.12,4.36,8.91,24.05
SE,G,24.62,2021,3.2,11.84,26.8,87.92,4.48,23.2,33.45
SE,G,20.48,2023,3.02,10.79,27.1,77.59,4.35,26.32,40.35
SE,H,22.54,2021,3.12,3.71,21.4,88.7,4.49,9.63,18.28
SE,H,18.74,2023,2.93,4.74,21.3,92.55,4.53,14.18,15.17
SE,I,19.55,2021,2.97,4.2,16.1,37.01,3.61,7.79,13.86
SE,I,16.06,2023,2.78,3.18,20.3,39.83,3.68,3.33,13.69
SE,J,34.75,2021,3.55,30.81,68.7,168.7,5.13,71.87,59.5
SE,J,28.95,2023,3.37,36.85,73.2,137.74,4.93,76.1,64.02
SE,L,25.43,2021,3.24,9.6,40.0,438.6,6.08,22.84,38.54
SE,L,20.72,2023,3.03,17.75,43.5,456.63,6.12,28.83,49.57
SE,M,31.77,2021,3.46,16.47,69.1,101.66,4.62,22.81,34.06
SE,M,27.29,2023,3.31,20.69,72.4,100.71,4.61,28.79,43.81
SE,N,20.64,2021,3.03,8.58,29.7,57.1,4.04,17.58,27.38
SE,N,17.48,2023,2.86,8.3,29.3,60.95,4.11,17.64,25.01
SI,C,17.29,2021,2.85,12.57,29.2,47.24,3.86,17.22,24.81
SI,C,17.71,2023,2.87,12.34,22.5,55.46,4.02,24.28,32.33
SI,E,16.83,2021,2.82,3.62,32.9,43.64,3.78,24.21,29.86
SI,E,17.31,2023,2.85,0.0,22.4,44.39,3.79,30.13,38.49
SI,F,14.58,2021,2.68,4.16,16.7,35.11,3.56,2.59,10.59
SI,F,14.68,2023,2.69,3.5,11.6,45.4,3.82,3.5,7.26
SI,G,16.92,2021,2.83,10.95,31.3,44.25,3.79,18.75,30.0
SI,G,17.15,2023,2.84,14.49,27.7,51.84,3.95,22.65,34.84
SI,H,14.86,2021,2.7,12.52,26.1,48.23,3.88,4.87,12.71
SI,H,15.31,2023,2.73,7.5,19.7,57.27,4.05,5.56,11.21
SI,I,19.35,2021,2.96,5.08,19.2,20.08,3.0,4.95,18.19
SI,I,20.26,2023,3.01,6.53,13.2,30.56,3.42,4.6,16.13
SI,J,22.9,2021,3.13,39.65,69.3,58.43,4.07,91.38,79.36
SI,J,22.49,2023,3.11,32.48,67.6,64.4,4.17,87.08,80.09
SI,M,21.59,2021,3.07,18.59,69.7,38.83,3.66,25.31,37.22
SI,M,21.53,2023,3.07,22.24,63.8,43.74,3.78,31.5,47.97
SI,N,12.9,2021,2.56,9.02,21.7,24.9,3.21,10.39,17.44
SI,N,13.56,2023,2.61,3.22,15.9,31.38,3.45,14.76,27.52
SK,C,9.5,2021,2.25,5.4,15.9,33.2,3.5,18.5,17.83
SK,C,8.79,2023,2.17,6.07,17.9,40.53,3.7,18.57,17.82
SK,D,13.81,2021,2.63,6.63,38.0,113.13,4.73,25.2,37.4
SK,D,13.11,2023,2.57,9.98,43.3,249.99,5.52,26.98,38.55
SK,F,8.16,2021,2.1,2.12,17.7,43.49,3.77,4.49,6.91
SK,F,7.93,2023,2.07,4.08,16.4,50.97,3.93,6.23,3.53
SK,G,8.79,2021,2.17,4.88,19.7,25.65,3.24,15.43,15.19
SK,G,8.29,2023,2.12,6.96,21.4,36.28,3.59,17.52,15.54
SK,H,7.98,2021,2.08,6.23,12.3,39.24,3.67,7.29,8.98
SK,H,7.78,2023,2.05,3.32,16.4,43.8,3.78,14.47,7.41
SK,I,6.63,2021,1.89,1.25,11.9,14.86,2.7,2.46,5.98
SK,I,5.48,2023,1.7,2.31,12.3,22.93,3.13,4.37,6.38
SK,J,15.69,2021,2.75,18.19,71.4,60.13,4.1,69.63,58.38
SK,J,14.55,2023,2.68,21.62,72.6,70.58,4.26,71.88,53.54
SK,M,11.84,2021,2.47,3.67,65.6,38.11,3.64,18.24,21.33
SK,M,11.53,2023,2.44,12.22,67.6,43.4,3.77,19.53,21.99
SK,N,7.35,2021,1.99,8.6,23.2,28.46,3.35,16.9,14.74
SK,N,7.21,2023,1.98,10.16,25.0,35.94,3.58,13.37,7.67
