geo,nace_r2,real_wage,year,log_wage,ai_adoption,tert_edu,productivity,log_prod,spec_ict,training_ict
DE,H,20.7,2021,3.03,6.14,15.3,65.27,4.18,12.38,17.42
DE,H,20.1,2023,3.0,7.05,15.3,69.92,4.25,17.23,23.48
DE,I,15.38,2021,2.73,3.88,11.3,22.23,3.1,5.08,9.8
DE,I,15.81,2023,2.76,5.38,12.6,38.23,3.64,5.35,9.77
DE,J,36.72,2021,3.6,28.8,54.7,116.29,4.76,71.32,61.44
DE,J,34.71,2023,3.55,33.05,57.8,118.47,4.77,80.58,67.57
DE,L,30.13,2021,3.41,11.15,29.4,700.43,6.55,17.56,26.64
DE,L,28.04,2023,3.33,11.4,31.5,731.31,6.59,22.41,37.07
DE,M,33.7,2021,3.52,25.54,52.7,80.28,4.39,23.98,29.21
DE,M,32.33,2023,3.48,26.34,54.7,86.89,4.46,30.61,40.65
DE,N,18.41,2021,2.91,6.85,14.9,50.65,3.92,15.94,19.16
DE,N,18.75,2023,2.93,11.02,15.3,61.98,4.13,20.56,24.7
DK,C,40.51,2021,3.7,27.28,31.8,147.85,5.0,30.07,28.78
DK,C,38.01,2023,3.64,14.8,31.7,188.36,5.24,31.99,30.45
DK,C,39.08,2025,3.67,38.55,37.9,233.67,5.45,26.96,34.28
DK,F,36.8,2021,3.61,8.87,10.7,79.24,4.37,8.87,12.52
DK,F,34.18,2023,3.53,3.23,11.9,81.82,4.4,10.18,12.51
DK,F,34.46,2025,3.54,23.93,15.9,87.36,4.47,9.55,17.3
DK,G,35.46,2021,3.57,21.3,21.5,78.69,4.37,26.13,30.99
DK,G,32.91,2023,3.49,14.17,22.9,79.63,4.38,33.44,35.29
DK,G,33.55,2025,3.51,44.8,23.5,81.31,4.4,29.91,35.78
DK,H,36.42,2021,3.6,21.28,20.6,172.89,5.15,18.03,20.36
DK,H,34.01,2023,3.53,15.16,22.8,132.8,4.89,29.97,26.18
DK,H,33.88,2025,3.52,26.9,26.1,134.5,4.9,26.81,34.75
DK,J,48.14,2021,3.87,54.75,59.9,121.18,4.8,87.13,70.22
DK,J,44.81,2023,3.8,44.31,62.5,129.95,4.87,89.16,71.87
