nace_r2,geo,2020,2021,2022,2023,2024
TOTAL,FI,49.6,44.5,44.2,44.2,44.9
TOTAL,FR,44.0,45.0,45.6,46.2,47.1
TOTAL,HR,31.2,31.0,30.5,33.4,35.0
TOTAL,HU,28.2,31.2,31.3,31.4,32.7
TOTAL,IE,54.1,56.9,56.4,56.6,58.0
TOTAL,IS,42.1,41.9,41.7,42.4,44.9
TOTAL,IT,23.3,23.7,23.7,25.1,25.5
TOTAL,LT,48.9,49.8,51.3,50.9,51.9
TOTAL,LU,50.8,54.4,56.2,55.8,59.4
TOTAL,LV,39.8,41.6,41.7,41.5,42.7
TOTAL,MT,36.0,37.1,36.2,37.1,39.8
TOTAL,NL,42.0,42.2,43.1,42.5,42.9
TOTAL,NO,46.8,48.0,48.3,49.3,50.1
TOTAL,PL,39.5,39.5,39.7,43.1,44.0
TOTAL,PT,30.9,33.1,33.4,33.1,34.7
TOTAL,RO,26.5,25.8,26.7,25.4,25.5
TOTAL,SE,46.0,47.9,49.1,49.6,50.5
TOTAL,SI,40.5,45.3,44.4,37.6,37.8
TOTAL,SK,28.8,31.3,32.3,32.5,32.1
U,AT,78.4,76.8,86.7,90.5,83.7
U,BE,82.3,88.6,91.5,88.7,88.0
U,CH,81.3,75.4,70.1,75.9,81.2
U,CY,53.0,50.5,48.0,63.4,56.1
U,FR,79.7,77.9,79.5,75.4,75.5
U,IT,52.1,60.9,60.8,63.6,64.3
U,LU,89.4,90.1,94.0,94.1,93.6
