geo,nace_r2,real_wage,year,log_wage,ai_adoption,tert_edu,productivity,log_prod,spec_ict,training_ict,unempl_r,infl_r,gdp,log_gdp
HU,E,6.1,2023,1.81,4.78,16.1,19.42,2.97,47.41,23.8,4.1,17.0,20540.0,9.93
HU,F,6.13,2021,1.81,0.55,9.5,20.47,3.02,21.25,9.66,4.0,5.2,16090.0,9.69
HU,F,5.85,2023,1.77,1.8,10.4,25.68,3.25,15.13,12.92,4.1,17.0,20540.0,9.93
HU,G,6.8,2021,1.92,1.65,18.5,22.46,3.11,27.89,14.17,4.0,5.2,16090.0,9.69
HU,G,6.35,2023,1.85,3.02,19.7,26.28,3.27,26.56,17.83,4.1,17.0,20540.0,9.93
HU,H,6.8,2021,1.92,3.32,15.4,25.57,3.24,25.12,11.45,4.0,5.2,16090.0,9.69
HU,H,6.35,2023,1.85,2.23,15.4,32.31,3.48,27.71,9.74,4.1,17.0,20540.0,9.93
HU,I,4.28,2021,1.45,0.66,10.6,12.78,2.55,12.37,6.3,4.0,5.2,16090.0,9.69
HU,I,4.42,2023,1.49,2.46,13.2,20.25,3.01,16.16,7.82,4.1,17.0,20540.0,9.93
HU,J,12.01,2021,2.49,13.09,71.9,39.59,3.68,83.18,53.47,4.0,5.2,16090.0,9.69
HU,J,11.33,2023,2.43,14.54,68.4,47.48,3.86,88.0,54.2,4.1,17.0,20540.0,9.93
HU,L,6.47,2021,1.87,2.3,41.8,184.7,5.22,24.61,12.7,4.0,5.2,16090.0,9.69
HU,L,6.41,2023,1.86,3.38,33.5,238.33,5.47,27.55,16.21,4.1,17.0,20540.0,9.93
HU,M,10.42,2021,2.34,3.71,73.8,30.42,3.42,41.63,24.64,4.0,5.2,16090.0,9.69
HU,M,9.9,2023,2.29,5.24,69.0,35.6,3.57,46.61,31.44,4.1,17.0,20540.0,9.93
HU,N,5.46,2021,1.7,4.83,25.4,20.31,3.01,27.56,12.89,4.0,5.2,16090.0,9.69
HU,N,5.17,2023,1.64,2.89,24.0,26.4,3.27,28.12,16.48,4.1,17.0,20540.0,9.93
IE,C,28.47,2021,3.35,8.83,53.4,542.85,6.3,33.48,31.8,6.2,2.4,88080.0,11.39
IE,C,27.16,2023,3.3,7.18,52.9,541.9,6.3,36.91,28.4,4.3,5.2,98340.0,11.5
IE,D,45.46,2021,3.82,25.0,62.5,294.55,5.69,42.25,46.18,6.2,2.4,88080.0,11.39
IE,D,42.28,2023,3.74,38.86,60.8,354.34,5.87,45.65,45.65,4.3,5.2,98340.0,11.5
IE,F,26.64,2021,3.28,0.27,27.8,71.68,4.27,17.44,19.77,6.2,2.4,88080.0,11.39
IE,F,25.21,2023,3.23,5.92,27.2,81.26,4.4,21.1,16.71,4.3,5.2,98340.0,11.5
IE,G,22.59,2021,3.12,5.12,34.0,90.87,4.51,22.93,20.08,6.2,2.4,88080.0,11.39
IE,G,21.48,2023,3.07,4.99,34.0,101.83,4.62,29.33,22.16,4.3,5.2,98340.0,11.5
IE,H,24.61,2021,3.2,4.98,32.8,47.1,3.85,22.52,13.37,6.2,2.4,88080.0,11.39
IE,H,23.09,2023,3.14,6.07,27.6,81.36,4.4,23.63,18.18,4.3,5.2,98340.0,11.5
IE,I,16.99,2021,2.83,4.27,30.9,27.55,3.32,14.06,13.3,6.2,2.4,88080.0,11.39
IE,I,15.53,2023,2.74,2.68,29.9,45.83,3.82,12.47,11.15,4.3,5.2,98340.0,11.5
IE,J,45.56,2021,3.82,32.4,83.5,519.2,6.25,80.35,65.26,6.2,2.4,88080.0,11.39
IE,J,45.67,2023,3.82,28.52,85.3,579.66,6.36,72.41,57.15,4.3,5.2,98340.0,11.5
IE,M,34.56,2021,3.54,13.59,79.3,145.86,4.98,37.05,26.69,6.2,2.4,88080.0,11.39
IE,M,32.94,2023,3.49,15.77,79.3,175.73,5.17,40.03,26.39,4.3,5.2,98340.0,11.5
IE,N,23.65,2021,3.16,12.22,40.7,218.75,5.39,42.03,36.81,6.2,2.4,88080.0,11.39
IE,N,21.99,2023,3.09,6.59,41.3,246.37,5.51,33.3,24.85,4.3,5.2,98340.0,11.5
IT,C,19.24,2021,2.96,6.63,12.6,74.11,4.31,12.96,15.53,9.5,2.0,31160.0,10.35
IT,C,17.95,2023,2.89,4.94,14.3,84.35,4.43,14.02,18.97,7.7,5.9,36330.0,10.5
IT,C,18.74,2025,2.93,14.73,15.6,86.36,4.46,13.64,20.01,6.1,1.6,38310.0,10.55
IT,F,16.0,2021,2.77,5.24,4.6,52.57,3.96,6.11,9.33,9.5,2.0,31160.0,10.35
IT,F,14.97,2023,2.71,2.62,4.9,65.78,4.19,6.64,13.46,7.7,5.9,36330.0,10.5
IT,F,16.09,2025,2.78,10.39,5.0,60.28,4.1,5.3,11.65,6.1,1.6,38310.0,10.55
IT,G,18.29,2021,2.91,5.59,14.0,54.84,4.0,12.7,15.4,9.5,2.0,31160.0,10.35
IT,G,16.29,2023,2.79,3.66,14.1,60.84,4.11,12.62,21.47,7.7,5.9,36330.0,10.5
IT,G,16.73,2025,2.82,18.13,13.2,59.67,4.09,11.87,17.12,6.1,1.6,38310.0,10.55
IT,H,17.81,2021,2.88,3.03,11.1,66.71,4.2,13.01,13.08,9.5,2.0,31160.0,10.35
IT,H,16.13,2023,2.78,3.45,12.4,77.07,4.34,10.91,17.54,7.7,5.9,36330.0,10.5
IT,H,16.41,2025,2.8,11.62,12.2,85.09,4.44,9.89,13.27,6.1,1.6,38310.0,10.55
IT,I,13.24,2021,2.58,4.82,6.4,32.01,3.47,1.84,7.17,9.5,2.0,31160.0,10.35
IT,I,11.66,2023,2.46,3.99,7.2,42.41,3.75,3.23,9.39,7.7,5.9,36330.0,10.5
IT,I,11.99,2025,2.48,11.73,7.5,43.5,3.77,1.58,9.75,6.1,1.6,38310.0,10.55
IT,J,24.19,2021,3.19,16.19,47.4,95.89,4.56,66.23,56.29,9.5,2.0,31160.0,10.35
IT,J,22.0,2023,3.09,21.04,48.5,95.43,4.56,59.89,52.51,7.7,5.9,36330.0,10.5
IT,J,22.45,2025,3.11,51.28,48.0,103.78,4.64,62.03,52.32,6.1,1.6,38310.0,10.55
IT,L,21.05,2021,3.05,3.19,25.2,1214.62,7.1,15.05,12.6,9.5,2.0,31160.0,10.35
IT,L,17.78,2023,2.88,2.73,25.6,1327.41,7.19,18.24,17.17,7.7,5.9,36330.0,10.5
IT,L,18.42,2025,2.91,13.96,20.7,1352.5,7.21,11.07,19.44,6.1,1.6,38310.0,10.55
IT,M,24.57,2021,3.2,8.68,43.7,65.58,4.18,18.2,20.09,9.5,2.0,31160.0,10.35
IT,M,22.58,2023,3.12,9.23,45.3,72.86,4.29,22.06,27.38,7.7,5.9,36330.0,10.5
IT,M,23.65,2025,3.16,35.72,45.6,72.71,4.29,20.93,28.21,6.1,1.6,38310.0,10.55
IT,N,12.86,2021,2.55,6.22,12.3,39.8,3.68,10.39,11.96,9.5,2.0,31160.0,10.35
IT,N,11.17,2023,2.41,6.73,13.7,44.43,3.79,11.32,19.21,7.7,5.9,36330.0,10.5
IT,N,11.58,2025,2.45,15.97,15.4,47.35,3.86,14.47,16.81,6.1,1.6,38310.0,10.55
LT,C,9.24,2021,2.22,5.06,31.6,39.27,3.67,15.3,12.73,7.1,4.6,20190.0,9.91
LT,C,8.9,2023,2.19,4.83,34.0,47.56,3.86,17.45,11.2,6.9,8.7,25880.0,10.16
LT,F,8.64,2021,2.16,1.11,27.0,34.07,3.53,5.71,7.87,7.1,4.6,20190.0,9.91
LT,F,8.63,2023,2.16,2.4,29.9,41.16,3.72,4.95,4.59,6.9,8.7,25880.0,10.16
LT,G,9.16,2021,2.21,2.79,43.1,40.45,3.7,16.37,15.49,7.1,4.6,20190.0,9.91
LT,G,8.76,2023,2.17,4.39,43.6,48.47,3.88,18.23,16.15,6.9,8.7,25880.0,10.16
LT,H,8.12,2021,2.09,3.84,35.5,49.67,3.91,8.8,5.25,7.1,4.6,20190.0,9.91
LT,H,8.23,2023,2.11,4.97,36.4,61.01,4.11,11.35,6.33,6.9,8.7,25880.0,10.16
LT,I,6.13,2021,1.81,3.8,21.1,20.31,3.01,6.43,5.51,7.1,4.6,20190.0,9.91
LT,I,6.02,2023,1.8,0.55,31.9,31.23,3.44,4.77,4.96,6.9,8.7,25880.0,10.16
LT,J,16.93,2021,2.83,22.77,85.5,42.85,3.76,76.83,53.44,7.1,4.6,20190.0,9.91
LT,J,17.19,2023,2.84,26.68,80.2,54.87,4.0,84.13,63.1,6.9,8.7,25880.0,10.16
LT,L,8.98,2021,2.19,1.3,56.1,231.74,5.45,18.55,6.66,7.1,4.6,20190.0,9.91
LT,L,9.43,2023,2.24,2.65,54.6,295.71,5.69,22.37,8.22,6.9,8.7,25880.0,10.16
LT,M,13.48,2021,2.6,7.22,87.1,34.79,3.55,22.59,19.87,7.1,4.6,20190.0,9.91
LT,M,13.78,2023,2.62,4.07,81.9,35.65,3.57,27.24,24.53,6.9,8.7,25880.0,10.16
LT,N,7.34,2021,1.99,6.35,38.2,29.3,3.38,21.49,21.65,7.1,4.6,20190.0,9.91
LT,N,7.96,2023,2.07,5.46,39.8,36.08,3.59,16.18,12.73,6.9,8.7,25880.0,10.16
LU,G,28.65,2021,3.36,9.14,38.3,100.59,4.61,18.39,21.32,5.3,3.5,113920.0,11.64
LU,G,28.68,2023,3.36,14.61,39.9,119.76,4.79,21.28,19.49,5.2,2.9,122970.0,11.72
LU,J,42.7,2021,3.75,28.69,71.8,165.5,5.11,80.47,70.91,5.3,3.5,113920.0,11.64
LU,J,42.45,2023,3.75,31.66,74.0,223.21,5.41,78.48,69.59,5.2,2.9,122970.0,11.72
LU,M,52.91,2021,3.97,20.8,80.5,140.72,4.95,26.48,22.21,5.3,3.5,113920.0,11.64
LU,M,52.7,2023,3.96,21.98,79.6,148.68,5.0,30.66,28.53,5.2,2.9,122970.0,11.72
LV,C,7.22,2021,1.98,2.61,22.3,35.71,3.58,17.61,12.59,7.6,3.2,17130.0,9.75
LV,C,6.83,2023,1.92,4.14,22.0,37.11,3.61,17.52,11.71,6.5,9.1,21030.0,9.95
LV,D,9.18,2021,2.22,2.88,53.3,71.71,4.27,34.62,20.57,7.6,3.2,17130.0,9.75
LV,D,9.42,2023,2.24,8.36,54.7,105.22,4.66,33.48,19.71,6.5,9.1,21030.0,9.95
LV,F,7.94,2021,2.07,3.32,21.9,25.49,3.24,11.54,14.68,7.6,3.2,17130.0,9.75
LV,F,7.04,2023,1.95,1.51,24.0,34.66,3.55,9.04,11.59,6.5,9.1,21030.0,9.95
LV,G,7.04,2021,1.95,3.05,29.1,29.62,3.39,20.97,16.34,7.6,3.2,17130.0,9.75
LV,G,6.63,2023,1.89,2.41,31.7,37.11,3.61,18.82,15.62,6.5,9.1,21030.0,9.95
LV,H,7.22,2021,1.98,3.45,29.3,28.39,3.35,16.26,12.79,7.6,3.2,17130.0,9.75
LV,H,6.97,2023,1.94,4.1,30.2,35.65,3.57,16.58,12.17,6.5,9.1,21030.0,9.95
LV,I,5.35,2021,1.68,0.28,16.2,12.41,2.52,5.99,8.11,7.6,3.2,17130.0,9.75
LV,I,4.81,2023,1.57,1.01,13.8,21.54,3.07,5.55,4.23,6.5,9.1,21030.0,9.95
LV,J,14.0,2021,2.64,13.71,64.6,53.74,3.98,72.95,51.08,7.6,3.2,17130.0,9.75
LV,J,13.32,2023,2.59,20.93,62.9,58.98,4.08,64.47,49.51,6.5,9.1,21030.0,9.95
LV,L,6.87,2021,1.93,2.7,28.7,107.03,4.67,20.64,15.38,7.6,3.2,17130.0,9.75
LV,L,6.35,2023,1.85,5.85,30.8,139.43,4.94,19.96,14.74,6.5,9.1,21030.0,9.95
LV,M,13.29,2021,2.59,9.28,78.6,40.53,3.7,31.53,25.65,7.6,3.2,17130.0,9.75
LV,M,12.62,2023,2.54,11.37,77.0,44.75,3.8,30.49,24.58,6.5,9.1,21030.0,9.95
LV,N,6.96,2021,1.94,4.01,29.6,25.04,3.22,25.14,17.87,7.6,3.2,17130.0,9.75
LV,N,6.21,2023,1.83,6.6,26.6,29.3,3.38,15.98,14.16,6.5,9.1,21030.0,9.95
MT,C,12.98,2021,2.56,6.23,23.1,43.6,3.78,24.54,19.62,3.8,0.7,32190.0,10.38
MT,C,13.5,2023,2.6,10.06,22.7,50.13,3.91,28.48,21.64,3.5,5.6,37810.0,10.54
MT,C,14.61,2025,2.68,17.57,24.3,51.34,3.94,29.29,28.55,3.1,2.4,42160.0,10.65
MT,F,10.46,2021,2.35,7.62,9.8,38.05,3.64,9.59,8.99,3.8,0.7,32190.0,10.38
MT,F,9.92,2023,2.29,9.05,15.4,40.41,3.7,18.47,14.18,3.5,5.6,37810.0,10.54
MT,F,9.45,2025,2.25,10.61,23.8,40.39,3.7,16.14,12.55,3.1,2.4,42160.0,10.65
MT,G,12.32,2021,2.51,7.12,15.3,31.86,3.46,25.25,26.1,3.8,0.7,32190.0,10.38
MT,G,11.42,2023,2.44,9.44,17.5,37.52,3.62,29.11,23.6,3.5,5.6,37810.0,10.54
MT,G,11.83,2025,2.47,14.75,22.2,38.3,3.65,28.59,25.12,3.1,2.4,42160.0,10.65
MT,H,15.03,2021,2.71,15.0,20.8,44.32,3.79,23.58,31.94,3.8,0.7,32190.0,10.38
MT,H,16.58,2023,2.81,16.45,27.0,67.7,4.22,31.57,32.78,3.5,5.6,37810.0,10.54
MT,H,14.93,2025,2.7,18.55,29.4,79.53,4.38,33.95,33.95,3.1,2.4,42160.0,10.65
MT,J,21.1,2021,3.05,25.35,51.8,132.0,4.88,76.9,68.6,3.8,0.7,32190.0,10.38
MT,J,18.5,2023,2.92,35.29,54.0,169.05,5.13,82.46,68.68,3.5,5.6,37810.0,10.54
MT,J,17.95,2025,2.89,60.4,58.2,188.54,5.24,87.43,78.7,3.1,2.4,42160.0,10.65
MT,N,10.92,2021,2.39,8.64,24.2,38.75,3.66,29.69,26.71,3.8,0.7,32190.0,10.38
MT,N,11.25,2023,2.42,12.39,32.5,45.35,3.81,34.72,34.95,3.5,5.6,37810.0,10.54
MT,N,10.41,2025,2.34,23.2,20.8,45.09,3.81,32.06,34.3,3.1,2.4,42160.0,10.65
NL,F,26.73,2021,3.29,7.39,22.0,75.42,4.32,11.95,15.16,4.2,2.8,50850.0,10.84
NL,F,25.12,2023,3.22,4.72,23.5,82.46,4.41,14.88,18.32,3.6,4.1,58740.0,10.98
NL,F,26.5,2025,3.28,21.29,25.1,92.1,4.52,14.9,18.77,3.9,3.0,64710.0,11.08
NO,C,35.84,2021,3.58,9.35,31.3,110.99,4.71,18.8,33.46,4.4,3.9,81520.0,11.31
NO,C,30.47,2023,3.42,8.35,31.5,114.88,4.74,19.85,36.6,3.6,5.7,84120.0,11.34
NO,C,31.75,2025,3.46,25.98,31.4,122.54,4.81,17.77,31.32,4.5,2.8,83860.0,11.34
NO,D,45.48,2021,3.82,31.78,60.3,688.94,6.54,47.33,61.28,4.4,3.9,81520.0,11.31
NO,D,39.82,2023,3.68,34.1,69.8,636.58,6.46,63.61,74.38,3.6,5.7,84120.0,11.34
NO,D,41.67,2025,3.73,64.42,66.6,541.52,6.29,62.5,74.01,4.5,2.8,83860.0,11.34
NO,F,31.06,2021,3.44,5.18,22.6,88.19,4.48,5.9,24.53,4.4,3.9,81520.0,11.31
NO,F,26.37,2023,3.27,3.65,21.4,84.14,4.43,7.42,26.25,3.6,5.7,84120.0,11.34
NO,F,27.44,2025,3.31,19.01,21.6,88.2,4.48,5.4,19.13,4.5,2.8,83860.0,11.34
NO,G,34.04,2021,3.53,8.16,25.7,78.77,4.37,13.74,29.92,4.4,3.9,81520.0,11.31
NO,G,28.57,2023,3.35,6.74,24.5,74.95,4.32,18.95,31.95,3.6,5.7,84120.0,11.34
NO,G,29.6,2025,3.39,23.68,27.0,84.5,4.44,25.59,34.08,4.5,2.8,83860.0,11.34
NO,H,34.39,2021,3.54,3.44,23.8,86.35,4.46,12.21,26.79,4.4,3.9,81520.0,11.31
NO,H,29.94,2023,3.4,5.38,27.8,112.17,4.72,15.39,24.78,3.6,5.7,84120.0,11.34
NO,H,32.4,2025,3.48,20.52,27.2,108.38,4.69,12.2,18.63,4.5,2.8,83860.0,11.34
NO,I,23.29,2021,3.15,2.29,24.0,43.31,3.77,8.91,19.18,4.4,3.9,81520.0,11.31
NO,I,18.54,2023,2.92,5.11,25.8,49.18,3.9,9.21,20.3,3.6,5.7,84120.0,11.34
NO,I,19.61,2025,2.98,12.39,26.4,53.39,3.98,9.11,14.14,4.5,2.8,83860.0,11.34
NO,J,48.38,2021,3.88,41.95,69.1,149.76,5.01,65.86,71.97,4.4,3.9,81520.0,11.31
NO,J,41.72,2023,3.73,31.55,70.8,141.78,4.95,74.2,73.67,3.6,5.7,84120.0,11.34
NO,J,43.32,2025,3.77,78.31,76.2,155.41,5.05,72.05,71.04,4.5,2.8,83860.0,11.34
NO,L,45.9,2021,3.83,12.87,54.3,1360.55,7.22,19.66,41.15,4.4,3.9,81520.0,11.31
NO,L,37.61,2023,3.63,6.06,39.0,1315.78,7.18,26.43,49.95,3.6,5.7,84120.0,11.34
NO,L,40.23,2025,3.69,36.25,52.7,1408.81,7.25,17.71,35.48,4.5,2.8,83860.0,11.34
NO,M,46.33,2021,3.84,22.54,76.0,116.12,4.75,18.85,39.45,4.4,3.9,81520.0,11.31
NO,M,39.74,2023,3.68,19.33,80.7,115.14,4.75,25.33,47.88,3.6,5.7,84120.0,11.34
NO,M,41.81,2025,3.73,55.22,82.6,120.85,4.79,30.89,47.64,4.5,2.8,83860.0,11.34
NO,N,30.29,2021,3.41,14.59,31.4,77.8,4.35,14.25,33.75,4.4,3.9,81520.0,11.31
NO,N,25.3,2023,3.23,8.92,29.9,76.94,4.34,15.34,31.87,3.6,5.7,84120.0,11.34
NO,N,27.44,2025,3.31,32.13,36.8,81.08,4.4,17.18,26.73,4.5,2.8,83860.0,11.34
PL,C,7.52,2021,2.02,2.33,22.7,30.46,3.42,27.28,16.14,3.4,5.2,15770.0,9.67
PL,C,7.53,2023,2.02,2.86,26.9,40.3,3.7,32.05,22.75,2.8,10.8,19980.0,9.9
PL,D,11.29,2021,2.42,4.75,42.3,75.2,4.32,38.31,35.59,3.4,5.2,15770.0,9.67
PL,D,11.5,2023,2.44,7.58,43.6,125.63,4.83,49.04,53.95,2.8,10.8,19980.0,9.9
PL,E,7.09,2021,1.96,0.84,26.7,38.72,3.66,29.35,20.82,3.4,5.2,15770.0,9.67
PL,E,6.97,2023,1.94,2.31,27.7,42.98,3.76,37.57,31.56,2.8,10.8,19980.0,9.9
PL,F,7.17,2021,1.97,0.35,18.0,26.84,3.29,14.38,8.42,3.4,5.2,15770.0,9.67
PL,F,6.9,2023,1.93,1.23,22.0,37.19,3.62,19.78,11.13,2.8,10.8,19980.0,9.9
PL,G,7.0,2021,1.95,3.1,25.5,34.08,3.53,23.18,18.62,3.4,5.2,15770.0,9.67
PL,G,6.97,2023,1.94,3.99,28.9,41.21,3.72,29.2,26.67,2.8,10.8,19980.0,9.9
PL,H,6.82,2021,1.92,1.85,21.8,26.65,3.28,16.08,11.45,3.4,5.2,15770.0,9.67
PL,H,7.8,2023,2.05,1.84,23.9,41.66,3.73,25.32,19.13,2.8,10.8,19980.0,9.9
PL,I,5.69,2021,1.74,0.99,17.6,17.54,2.86,14.44,12.88,3.4,5.2,15770.0,9.67
PL,I,5.78,2023,1.75,1.65,17.4,26.36,3.27,22.17,20.83,2.8,10.8,19980.0,9.9
PL,J,13.47,2021,2.6,16.35,77.3,47.03,3.85,81.65,61.3,3.4,5.2,15770.0,9.67
PL,J,13.38,2023,2.59,17.56,79.1,50.54,3.92,84.35,71.25,2.8,10.8,19980.0,9.9
PL,L,7.79,2021,2.05,1.76,48.5,200.83,5.3,23.72,18.4,3.4,5.2,15770.0,9.67
PL,L,7.67,2023,2.04,2.39,52.2,247.02,5.51,30.37,27.89,2.8,10.8,19980.0,9.9
PL,M,10.76,2021,2.38,6.48,77.4,38.6,3.65,33.83,25.62,3.4,5.2,15770.0,9.67
PL,M,10.66,2023,2.37,9.05,79.5,47.68,3.86,43.31,38.83,2.8,10.8,19980.0,9.9
PL,N,6.56,2021,1.88,4.16,20.5,32.58,3.48,24.04,18.66,3.4,5.2,15770.0,9.67
PL,N,6.83,2023,1.92,4.8,25.8,38.75,3.66,31.28,27.26,2.8,10.8,19980.0,9.9
PT,C,10.14,2021,2.32,8.58,15.8,36.96,3.61,18.18,19.69,6.7,0.9,20800.0,9.94
PT,C,9.92,2023,2.29,8.74,17.4,44.59,3.8,20.11,18.31,6.5,5.3,25560.0,10.15
PT,D,22.29,2021,3.1,20.37,39.7,371.3,5.92,47.78,40.34,6.7,0.9,20800.0,9.94
PT,D,23.28,2023,3.15,20.89,47.9,322.38,5.78,49.51,47.92,6.5,5.3,25560.0,10.15
PT,E,9.09,2021,2.21,9.51,23.1,43.78,3.78,27.16,32.01,6.7,0.9,20800.0,9.94
PT,E,8.74,2023,2.17,7.92,27.0,43.44,3.77,28.14,38.02,6.5,5.3,25560.0,10.15
PT,F,8.9,2021,2.19,1.06,13.7,25.09,3.22,10.4,13.53,6.7,0.9,20800.0,9.94
PT,F,8.57,2023,2.15,2.92,14.2,30.5,3.42,8.91,14.17,6.5,5.3,25560.0,10.15
PT,G,11.19,2021,2.42,6.63,21.1,33.67,3.52,21.4,25.76,6.7,0.9,20800.0,9.94
PT,G,11.01,2023,2.4,6.94,23.4,39.4,3.67,19.41,26.3,6.5,5.3,25560.0,10.15
PT,H,14.35,2021,2.66,7.38,16.4,41.39,3.72,17.89,15.85,6.7,0.9,20800.0,9.94
PT,H,13.78,2023,2.62,8.26,16.6,56.96,4.04,14.75,26.28,6.5,5.3,25560.0,10.15
PT,I,9.56,2021,2.26,4.4,12.2,24.45,3.2,11.93,10.91,6.7,0.9,20800.0,9.94
PT,I,8.07,2023,2.09,5.26,13.1,38.12,3.64,11.48,17.86,6.5,5.3,25560.0,10.15
PT,N,6.89,2021,1.93,10.81,21.5,20.23,3.01,29.51,32.41,6.7,0.9,20800.0,9.94
PT,N,6.81,2023,1.92,10.29,23.6,25.49,3.24,29.67,27.2,6.5,5.3,25560.0,10.15
RO,C,5.99,2021,1.79,1.28,12.7,25.54,3.24,15.43,4.58,5.6,4.1,12590.0,9.44
RO,C,6.42,2023,1.86,1.34,13.6,30.32,3.41,9.35,6.54,5.6,9.7,16870.0,9.73
RO,D,9.98,2021,2.3,1.84,30.0,68.13,4.22,41.45,14.8,5.6,4.1,12590.0,9.44
RO,D,11.23,2023,2.42,5.61,36.4,112.44,4.72,39.34,22.63,5.6,9.7,16870.0,9.73
RO,E,5.47,2021,1.7,0.59,13.9,18.06,2.89,16.19,5.69,5.6,4.1,12590.0,9.44
RO,E,5.86,2023,1.77,0.58,14.5,26.37,3.27,15.36,8.7,5.6,9.7,16870.0,9.73
RO,F,5.29,2021,1.67,0.05,13.1,20.34,3.01,14.63,2.72,5.6,4.1,12590.0,9.44
RO,F,6.0,2023,1.79,0.13,12.4,32.31,3.48,5.55,6.01,5.6,9.7,16870.0,9.73
RO,G,6.16,2021,1.82,0.6,18.8,23.24,3.15,12.2,4.95,5.6,4.1,12590.0,9.44
RO,G,6.64,2023,1.89,1.29,16.5,29.99,3.4,8.0,7.08,5.6,9.7,16870.0,9.73
RO,H,6.34,2021,1.85,0.31,11.8,24.51,3.2,13.58,3.56,5.6,4.1,12590.0,9.44
RO,H,6.99,2023,1.94,0.36,10.3,36.61,3.6,8.32,6.68,5.6,9.7,16870.0,9.73
RO,I,4.08,2021,1.41,0.27,10.6,14.65,2.68,10.26,4.34,5.6,4.1,12590.0,9.44
RO,I,4.45,2023,1.49,0.06,7.8,23.09,3.14,9.1,2.44,5.6,9.7,16870.0,9.73
RO,J,13.37,2021,2.59,8.8,74.6,79.53,4.38,53.4,34.4,5.6,4.1,12590.0,9.44
RO,J,14.69,2023,2.69,8.12,75.4,124.96,4.83,59.51,44.16,5.6,9.7,16870.0,9.73
RO,L,5.47,2021,1.7,0.39,46.5,685.44,6.53,7.84,4.3,5.6,4.1,12590.0,9.44
RO,L,6.0,2023,1.79,0.0,37.7,704.67,6.56,7.44,6.57,5.6,9.7,16870.0,9.73
RO,M,9.89,2021,2.29,6.68,80.1,62.48,4.13,27.64,13.42,5.6,4.1,12590.0,9.44
RO,M,10.24,2023,2.33,7.21,78.7,95.27,4.56,26.23,20.51,5.6,9.7,16870.0,9.73
RO,N,5.12,2021,1.63,3.04,15.4,29.43,3.38,14.31,4.19,5.6,4.1,12590.0,9.44
RO,N,5.72,2023,1.74,1.57,17.6,40.1,3.69,11.35,9.8,5.6,9.7,16870.0,9.73
SE,C,27.88,2021,3.33,8.87,30.6,125.0,4.83,22.25,39.09,8.9,2.7,51260.0,10.84
SE,C,23.09,2023,3.14,7.47,33.3,124.88,4.83,22.27,38.58,7.7,5.9,50490.0,10.83
SE,D,30.86,2021,3.43,25.06,50.2,403.74,6.0,51.66,57.34,8.9,2.7,51260.0,10.84
SE,D,25.86,2023,3.25,20.1,48.4,382.47,5.95,65.21,73.75,7.7,5.9,50490.0,10.83
SE,E,24.35,2021,3.19,9.58,29.7,101.75,4.62,17.51,29.86,8.9,2.7,51260.0,10.84
SE,E,19.93,2023,2.99,7.83,21.8,99.88,4.6,22.11,38.41,7.7,5.9,50490.0,10.83
SE,F,24.53,2021,3.2,2.32,16.7,82.25,4.41,5.81,19.4,8.9,2.7,51260.0,10.84
SE,F,20.72,2023,3.03,2.78,19.6,78.12,4.36,8.91,24.05,7.7,5.9,50490.0,10.83
SE,G,24.62,2021,3.2,11.84,26.8,87.92,4.48,23.2,33.45,8.9,2.7,51260.0,10.84
SE,G,20.48,2023,3.02,10.79,27.1,77.59,4.35,26.32,40.35,7.7,5.9,50490.0,10.83
SE,H,22.54,2021,3.12,3.71,21.4,88.7,4.49,9.63,18.28,8.9,2.7,51260.0,10.84
SE,H,18.74,2023,2.93,4.74,21.3,92.55,4.53,14.18,15.17,7.7,5.9,50490.0,10.83
SE,I,19.55,2021,2.97,4.2,16.1,37.01,3.61,7.79,13.86,8.9,2.7,51260.0,10.84
SE,I,16.06,2023,2.78,3.18,20.3,39.83,3.68,3.33,13.69,7.7,5.9,50490.0,10.83
SE,J,34.75,2021,3.55,30.81,68.7,168.7,5.13,71.87,59.5,8.9,2.7,51260.0,10.84
SE,J,28.95,2023,3.37,36.85,73.2,137.74,4.93,76.1,64.02,7.7,5.9,50490.0,10.83
SE,L,25.43,2021,3.24,9.6,40.0,438.6,6.08,22.84,38.54,8.9,2.7,51260.0,10.84
SE,L,20.72,2023,3.03,17.75,43.5,456.63,6.12,28.83,49.57,7.7,5.9,50490.0,10.83
SE,M,31.77,2021,3.46,16.47,69.1,101.66,4.62,22.81,34.06,8.9,2.7,51260.0,10.84
SE,M,27.29,2023,3.31,20.69,72.4,100.71,4.61,28.79,43.81,7.7,5.9,50490.0,10.83
SE,N,20.64,2021,3.03,8.58,29.7,57.1,4.04,17.58,27.38,8.9,2.7,51260.0,10.84
SE,N,17.48,2023,2.86,8.3,29.3,60.95,4.11,17.64,25.01,7.7,5.9,50490.0,10.83
SI,C,17.29,2021,2.85,12.57,29.2,47.24,3.86,17.22,24.81,4.8,2.0,24690.0,10.11
SI,C,17.71,2023,2.87,12.34,22.5,55.46,4.02,24.28,32.33,3.7,7.2,30200.0,10.32
SI,E,16.83,2021,2.82,3.62,32.9,43.64,3.78,24.21,29.86,4.8,2.0,24690.0,10.11
SI,E,17.31,2023,2.85,0.0,22.4,44.39,3.79,30.13,38.49,3.7,7.2,30200.0,10.32
SI,F,14.58,2021,2.68,4.16,16.7,35.11,3.56,2.59,10.59,4.8,2.0,24690.0,10.11
