geo,nace_r2,real_wage,year,log_wage,ai_adoption,tert_edu,productivity,log_prod,spec_ict,training_ict,unempl_r,infl_r,gdp,log_gdp
CZ,G,9.3,2021,2.23,4.21,14.6,36.3,3.59,17.93,24.31,2.8,3.3,23430.0,10.06
CZ,G,8.45,2023,2.13,5.16,15.4,44.83,3.8,19.29,20.14,2.6,12.0,29330.0,10.29
CZ,H,8.51,2021,2.14,3.34,10.4,35.54,3.57,7.93,12.35,2.8,3.3,23430.0,10.06
CZ,H,7.98,2023,2.08,4.42,11.2,44.9,3.8,11.04,13.86,2.6,12.0,29330.0,10.29
CZ,I,7.04,2021,1.95,0.93,7.0,16.57,2.81,4.02,9.24,2.8,3.3,23430.0,10.06
CZ,I,5.07,2023,1.62,2.63,9.4,28.11,3.34,4.2,6.8,2.6,12.0,29330.0,10.29
CZ,J,15.9,2021,2.77,21.22,59.6,91.12,4.51,85.3,74.0,2.8,3.3,23430.0,10.06
CZ,J,15.35,2023,2.73,24.76,57.5,107.16,4.67,83.49,67.85,2.6,12.0,29330.0,10.29
CZ,L,9.47,2021,2.25,4.51,33.6,290.37,5.67,16.29,21.93,2.8,3.3,23430.0,10.06
CZ,L,8.72,2023,2.17,4.92,33.8,315.22,5.75,16.25,22.02,2.6,12.0,29330.0,10.29
CZ,M,12.68,2021,2.54,9.28,63.6,37.72,3.63,25.68,40.77,2.8,3.3,23430.0,10.06
CZ,M,11.83,2023,2.47,9.42,60.4,45.82,3.82,25.62,40.94,2.6,12.0,29330.0,10.29
CZ,N,6.6,2021,1.89,3.1,15.1,26.5,3.28,10.67,16.59,2.8,3.3,23430.0,10.06
CZ,N,6.15,2023,1.82,5.43,17.0,35.16,3.56,15.73,18.22,2.6,12.0,29330.0,10.29
DE,C,29.85,2021,3.4,9.19,30.8,91.55,4.52,24.97,26.58,3.6,3.2,44910.0,10.71
DE,C,28.12,2023,3.34,9.32,31.6,106.71,4.67,25.82,27.82,3.1,6.0,50660.0,10.83
DE,D,37.73,2021,3.63,24.08,47.6,149.83,5.01,43.77,45.47,3.6,3.2,44910.0,10.71
DE,D,37.73,2023,3.63,22.65,48.2,342.61,5.84,55.87,63.28,3.1,6.0,50660.0,10.83
DE,E,24.27,2021,3.19,7.2,19.9,118.32,4.77,18.59,25.09,3.6,3.2,44910.0,10.71
DE,E,23.67,2023,3.16,8.08,18.0,130.64,4.87,23.73,34.91,3.1,6.0,50660.0,10.83
DE,F,22.89,2021,3.13,8.29,18.4,62.01,4.13,4.98,12.14,3.6,3.2,44910.0,10.71
DE,F,21.92,2023,3.09,4.48,19.5,70.94,4.26,7.95,15.47,3.1,6.0,50660.0,10.83
DE,G,22.8,2021,3.13,7.95,16.4,60.09,4.1,19.84,23.2,3.6,3.2,44910.0,10.71
DE,G,21.68,2023,3.08,9.97,16.6,69.82,4.25,19.83,26.48,3.1,6.0,50660.0,10.83
DE,H,20.7,2021,3.03,6.14,15.3,65.27,4.18,12.38,17.42,3.6,3.2,44910.0,10.71
DE,H,20.1,2023,3.0,7.05,15.3,69.92,4.25,17.23,23.48,3.1,6.0,50660.0,10.83
DE,I,15.38,2021,2.73,3.88,11.3,22.23,3.1,5.08,9.8,3.6,3.2,44910.0,10.71
DE,I,15.81,2023,2.76,5.38,12.6,38.23,3.64,5.35,9.77,3.1,6.0,50660.0,10.83
DE,J,36.72,2021,3.6,28.8,54.7,116.29,4.76,71.32,61.44,3.6,3.2,44910.0,10.71
DE,J,34.71,2023,3.55,33.05,57.8,118.47,4.77,80.58,67.57,3.1,6.0,50660.0,10.83
DE,L,30.13,2021,3.41,11.15,29.4,700.43,6.55,17.56,26.64,3.6,3.2,44910.0,10.71
DE,L,28.04,2023,3.33,11.4,31.5,731.31,6.59,22.41,37.07,3.1,6.0,50660.0,10.83
DE,M,33.7,2021,3.52,25.54,52.7,80.28,4.39,23.98,29.21,3.6,3.2,44910.0,10.71
DE,M,32.33,2023,3.48,26.34,54.7,86.89,4.46,30.61,40.65,3.1,6.0,50660.0,10.83
DE,N,18.41,2021,2.91,6.85,14.9,50.65,3.92,15.94,19.16,3.6,3.2,44910.0,10.71
DE,N,18.75,2023,2.93,11.02,15.3,61.98,4.13,20.56,24.7,3.1,6.0,50660.0,10.83
DK,C,40.51,2021,3.7,27.28,31.8,147.85,5.0,30.07,28.78,5.1,1.9,58640.0,10.98
DK,C,38.01,2023,3.64,14.8,31.7,188.36,5.24,31.99,30.45,5.1,3.4,62760.0,11.05
DK,C,39.08,2025,3.67,38.55,37.9,233.67,5.45,26.96,34.28,6.4,1.8,69550.0,11.15
DK,F,36.8,2021,3.61,8.87,10.7,79.24,4.37,8.87,12.52,5.1,1.9,58640.0,10.98
DK,F,34.18,2023,3.53,3.23,11.9,81.82,4.4,10.18,12.51,5.1,3.4,62760.0,11.05
DK,F,34.46,2025,3.54,23.93,15.9,87.36,4.47,9.55,17.3,6.4,1.8,69550.0,11.15
DK,G,35.46,2021,3.57,21.3,21.5,78.69,4.37,26.13,30.99,5.1,1.9,58640.0,10.98
DK,G,32.91,2023,3.49,14.17,22.9,79.63,4.38,33.44,35.29,5.1,3.4,62760.0,11.05
DK,G,33.55,2025,3.51,44.8,23.5,81.31,4.4,29.91,35.78,6.4,1.8,69550.0,11.15
DK,H,36.42,2021,3.6,21.28,20.6,172.89,5.15,18.03,20.36,5.1,1.9,58640.0,10.98
DK,H,34.01,2023,3.53,15.16,22.8,132.8,4.89,29.97,26.18,5.1,3.4,62760.0,11.05
DK,H,33.88,2025,3.52,26.9,26.1,134.5,4.9,26.81,34.75,6.4,1.8,69550.0,11.15
DK,J,48.14,2021,3.87,54.75,59.9,121.18,4.8,87.13,70.22,5.1,1.9,58640.0,10.98
DK,J,44.81,2023,3.8,44.31,62.5,129.95,4.87,89.16,71.87,5.1,3.4,62760.0,11.05
DK,J,46.33,2025,3.84,79.08,66.0,146.89,4.99,86.46,71.16,6.4,1.8,69550.0,11.15
DK,M,48.33,2021,3.88,39.22,69.5,114.52,4.74,36.29,38.82,5.1,1.9,58640.0,10.98
DK,M,44.98,2023,3.81,23.58,70.8,102.71,4.63,47.08,53.62,5.1,3.4,62760.0,11.05
DK,M,46.33,2025,3.84,63.71,73.3,121.0,4.8,44.06,48.8,6.4,1.8,69550.0,11.15
DK,N,31.65,2021,3.45,19.04,26.4,59.67,4.09,29.41,24.21,5.1,1.9,58640.0,10.98
DK,N,30.53,2023,3.42,9.32,25.9,61.67,4.12,32.23,27.35,5.1,3.4,62760.0,11.05
DK,N,31.49,2025,3.45,33.06,29.2,65.36,4.18,25.58,28.92,6.4,1.8,69550.0,11.15
EE,C,8.8,2021,2.17,2.72,26.8,34.41,3.54,14.83,14.63,6.2,4.5,23650.0,10.07
EE,C,8.16,2023,2.1,3.12,24.1,37.46,3.62,14.37,13.27,6.4,9.1,28080.0,10.24
EE,D,13.16,2021,2.58,8.29,62.5,179.74,5.19,22.52,35.52,6.2,4.5,23650.0,10.07
EE,D,12.71,2023,2.54,14.04,56.1,193.87,5.27,22.27,40.31,6.4,9.1,28080.0,10.24
EE,F,10.2,2021,2.32,0.64,20.9,35.63,3.57,6.0,8.75,6.2,4.5,23650.0,10.07
EE,F,8.63,2023,2.16,3.63,22.7,41.98,3.74,3.84,10.47,6.4,9.1,28080.0,10.24
EE,G,8.98,2021,2.19,2.07,34.4,40.76,3.71,14.9,15.24,6.2,4.5,23650.0,10.07
EE,G,8.09,2023,2.09,3.47,31.8,42.79,3.76,16.24,20.03,6.4,9.1,28080.0,10.24
EE,H,8.8,2021,2.17,2.36,29.2,39.99,3.69,11.33,13.42,6.2,4.5,23650.0,10.07
EE,H,8.03,2023,2.08,5.61,26.5,38.34,3.65,11.75,12.75,6.4,9.1,28080.0,10.24
EE,I,5.93,2021,1.78,0.19,15.8,15.63,2.75,6.69,5.58,6.2,4.5,23650.0,10.07
