freq,size_emp,nace_r2,indic_is,unit,geo,num_2020,flag_2020,num_2022,flag_2022,num_2024,flag_2024
A,GE10,C,E_ITSP2,PC_ENT_CUSE,FI,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2,PC_ENT_CUSE,FR,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2,PC_ENT_CUSE,HR,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2,PC_ENT_CUSE,HU,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2,PC_ENT_CUSE,IE,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2,PC_ENT_CUSE,IS,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2,PC_ENT_CUSE,IT,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2,PC_ENT_CUSE,LT,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2,PC_ENT_CUSE,LU,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2,PC_ENT_CUSE,LV,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2,PC_ENT_CUSE,ME,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2,PC_ENT_CUSE,MK,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2,PC_ENT_CUSE,MT,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2,PC_ENT_CUSE,NL,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2,PC_ENT_CUSE,NO,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2,PC_ENT_CUSE,PL,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2,PC_ENT_CUSE,PT,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2,PC_ENT_CUSE,RO,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2,PC_ENT_CUSE,RS,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2,PC_ENT_CUSE,SE,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2,PC_ENT_CUSE,SI,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2,PC_ENT_CUSE,SK,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2,PC_ENT_CUSE,TR,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2,PC_ENT_CUSE,UK,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,AL,,NaN,14.61,b,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,AT,27.98,NaN,29.17,NaN,30.23,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,BA,13.34,NaN,12.79,NaN,15.03,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,BE,,u,,u,,u
A,GE10,C-E,E_ITSP2,PC_ENT,BG,15.22,NaN,15.51,NaN,15.93,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,CY,15.15,NaN,17.03,NaN,16.03,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,CZ,21.5,NaN,21.27,NaN,22.72,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,DE,25.25,NaN,26.33,NaN,27.44,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,DK,30.61,NaN,33.05,NaN,28.01,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,EA,20.08,NaN,20.9,NaN,20.51,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,EE,15.39,NaN,15.16,NaN,17.3,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,EL,,u,17.68,NaN,19.83,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,ES,17.34,NaN,13.65,NaN,14.22,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,EU15,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,EU27_2007,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,EU27_2020,20.97,NaN,21.98,NaN,21.12,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,EU28,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,FI,34.75,NaN,33.81,NaN,34.92,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,FR,19.12,NaN,20.46,b,17.73,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,HR,17.64,NaN,16.75,NaN,15.3,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,HU,31.25,NaN,35.48,NaN,30.94,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,IE,33.02,NaN,37.42,NaN,37.4,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,IS,15.37,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,IT,13.15,NaN,14.28,NaN,13.81,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,LT,16.44,NaN,18.69,NaN,17.69,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,LU,26.29,NaN,27.98,NaN,26.51,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,LV,18.29,NaN,18.74,NaN,18.02,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,ME,,u,25.27,NaN,26.19,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,MK,,NaN,6.95,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,MT,,u,,u,,u
A,GE10,C-E,E_ITSP2,PC_ENT,NL,25.87,NaN,31.99,NaN,31.11,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,NO,20.08,NaN,22.42,NaN,20.63,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,PL,28.01,NaN,32.64,NaN,26.62,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,PT,18.59,NaN,20.64,NaN,19.64,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,RO,15.62,NaN,10.07,NaN,10.39,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,RS,17.64,NaN,17.7,NaN,19.23,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,SE,23.79,NaN,23.87,NaN,25.64,b
A,GE10,C-E,E_ITSP2,PC_ENT,SI,18.29,NaN,25.05,NaN,18.39,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,SK,18.69,NaN,18.8,NaN,17.55,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,TR,13.04,NaN,17.92,NaN,14.98,NaN
A,GE10,C-E,E_ITSP2,PC_ENT,UK,,u,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,AT,,NaN,,NaN,,NaN
