freq,age,unit,sex,geo,2020,2021,2022,2023,2024
A,Y15-74,THS_PER,T,CH,238.0,248.0,204.0,204.0,221.0
A,Y15-74,THS_PER,T,CY,35.0,34.0,31.0,30.0,25.0
A,Y15-74,THS_PER,T,CZ,137.0,150.0,118.0,134.0,139.0
A,Y15-74,THS_PER,T,DE,1512.0,1517.0,1355.0,1342.0,1490.0
A,Y15-74,THS_PER,T,DK,171.0,155.0,139.0,162.0,202.0
A,Y15-74,THS_PER,T,EA20,12929.0,12780.0,11364.0,11158.0,10917.0
A,Y15-74,THS_PER,T,EA21,13116.0,12937.0,11491.0,11291.0,11045.0
A,Y15-74,THS_PER,T,EE,48.0,43.0,40.0,48.0,57.0
A,Y15-74,THS_PER,T,EL,791.0,678.0,588.0,522.0,480.0
A,Y15-74,THS_PER,T,ES,3531.0,3476.0,3079.0,2937.0,2771.0
A,Y15-74,THS_PER,T,EU27_2020,15135.0,14987.0,13318.0,13185.0,13049.0
A,Y15-74,THS_PER,T,FI,209.0,212.0,190.0,204.0,238.0
A,Y15-74,THS_PER,T,FR,2381.0,2365.0,2234.0,2263.0,2311.0
A,Y15-74,THS_PER,T,HR,125.0,128.0,117.0,106.0,89.0
A,Y15-74,THS_PER,T,HU,196.0,193.0,174.0,201.0,220.0
A,Y15-74,THS_PER,T,IE,139.0,160.0,121.0,120.0,123.0
A,Y15-74,THS_PER,T,IS,11.0,13.0,8.0,8.0,8.0
A,Y15-74,THS_PER,T,IT,2301.0,2367.0,2027.0,1947.0,1664.0
A,Y15-74,THS_PER,T,LT,126.0,105.0,90.0,106.0,112.0
A,Y15-74,THS_PER,T,LU,21.0,17.0,15.0,18.0,22.0
A,Y15-74,THS_PER,T,LV,79.0,71.0,65.0,62.0,65.0
A,Y15-74,THS_PER,T,ME,48.0,,,,
A,Y15-74,THS_PER,T,MK,156.0,127.0,116.0,104.0,98.0
A,Y15-74,THS_PER,T,MT,13.0,10.0,10.0,11.0,10.0
A,Y15-74,THS_PER,T,NL,466.0,408.0,350.0,359.0,372.0
A,Y15-74,THS_PER,T,NO,136.0,128.0,96.0,107.0,121.0
A,Y15-74,THS_PER,T,PL,552.0,599.0,511.0,502.0,512.0
A,Y15-74,THS_PER,T,PT,354.0,344.0,323.0,351.0,351.0
A,Y15-74,THS_PER,T,RO,497.0,459.0,465.0,456.0,451.0
A,Y15-74,THS_PER,T,RS,290.0,344.0,296.0,296.0,272.0
A,Y15-74,THS_PER,T,SE,466.0,493.0,421.0,440.0,480.0
A,Y15-74,THS_PER,T,SI,51.0,48.0,41.0,38.0,38.0
A,Y15-74,THS_PER,T,SK,186.0,188.0,170.0,162.0,148.0
A,Y15-74,THS_PER,T,TR,4045.0,3915.0,3591.0,3274.0,3113.0
