freq,nace_r2,indic_sb,size_emp,geo,num_2016,flag_2016,num_2020,flag_2020
A,B,V11110,20-49,EU28,1400.0,du,,NaN
A,B,V11110,20-49,FI,18.0,NaN,27.0,NaN
A,B,V11110,20-49,FR,128.0,NaN,70.0,NaN
A,B,V11110,20-49,HR,23.0,NaN,17.0,NaN
A,B,V11110,20-49,HU,30.0,NaN,35.0,NaN
A,B,V11110,20-49,IE,18.0,NaN,24.0,NaN
A,B,V11110,20-49,IS,2.0,p,3.0,p
A,B,V11110,20-49,IT,117.0,NaN,,NaN
A,B,V11110,20-49,LT,22.0,NaN,24.0,NaN
A,B,V11110,20-49,LU,2.0,NaN,3.0,NaN
A,B,V11110,20-49,LV,23.0,NaN,22.0,NaN
A,B,V11110,20-49,MK,26.0,NaN,,NaN
A,B,V11110,20-49,MT,,NaN,0.0,NaN
A,B,V11110,20-49,NL,20.0,NaN,15.0,NaN
A,B,V11110,20-49,NO,64.0,NaN,63.0,NaN
A,B,V11110,20-49,PL,98.0,NaN,136.0,NaN
A,B,V11110,20-49,PT,74.0,NaN,71.0,NaN
A,B,V11110,20-49,RO,95.0,NaN,136.0,NaN
A,B,V11110,20-49,RS,26.0,p,24.0,NaN
A,B,V11110,20-49,SE,21.0,NaN,20.0,NaN
A,B,V11110,20-49,SI,6.0,NaN,6.0,NaN
A,B,V11110,20-49,SK,19.0,NaN,14.0,NaN
A,B,V11110,20-49,UK,111.0,b,,NaN
A,B,V11110,50-249,AL,,NaN,30.0,NaN
A,B,V11110,50-249,AT,17.0,NaN,23.0,NaN
A,B,V11110,50-249,BA,12.0,e,11.0,NaN
A,B,V11110,50-249,BE,7.0,NaN,5.0,NaN
A,B,V11110,50-249,BG,34.0,NaN,29.0,NaN
A,B,V11110,50-249,CH,16.0,NaN,11.0,NaN
A,B,V11110,50-249,CY,0.0,NaN,0.0,NaN
A,B,V11110,50-249,CZ,28.0,NaN,22.0,NaN
A,B,V11110,50-249,DE,120.0,NaN,119.0,NaN
A,B,V11110,50-249,DK,8.0,NaN,12.0,NaN
A,B,V11110,50-249,EE,10.0,NaN,7.0,NaN
A,B,V11110,50-249,EL,11.0,NaN,9.0,NaN
A,B,V11110,50-249,ES,42.0,NaN,41.0,NaN
A,B,V11110,50-249,EU27_2007,,NaN,,NaN
A,B,V11110,50-249,EU27_2020,,NaN,,NaN
A,B,V11110,50-249,EU28,700.0,du,,NaN
A,B,V11110,50-249,FI,11.0,NaN,10.0,NaN
A,B,V11110,50-249,FR,36.0,NaN,40.0,NaN
A,B,V11110,50-249,HR,7.0,NaN,6.0,NaN
A,B,V11110,50-249,HU,,NaN,,NaN
A,B,V11110,50-249,IE,,NaN,6.0,NaN
A,B,V11110,50-249,IS,0.0,p,0.0,p
A,B,V11110,50-249,IT,45.0,NaN,44.0,NaN
A,B,V11110,50-249,LT,14.0,NaN,15.0,NaN
A,B,V11110,50-249,LU,2.0,NaN,2.0,NaN
A,B,V11110,50-249,LV,14.0,NaN,14.0,NaN
A,B,V11110,50-249,MK,4.0,NaN,,NaN
A,B,V11110,50-249,MT,0.0,NaN,0.0,NaN
A,B,V11110,50-249,NL,29.0,NaN,36.0,NaN
A,B,V11110,50-249,NO,58.0,NaN,59.0,NaN
A,B,V11110,50-249,PL,104.0,NaN,91.0,NaN
A,B,V11110,50-249,PT,14.0,NaN,23.0,NaN
A,B,V11110,50-249,RO,47.0,NaN,56.0,NaN
A,B,V11110,50-249,RS,15.0,p,17.0,NaN
A,B,V11110,50-249,SE,6.0,NaN,9.0,NaN
A,B,V11110,50-249,SI,4.0,NaN,4.0,NaN
A,B,V11110,50-249,SK,,NaN,11.0,NaN
A,B,V11110,50-249,UK,65.0,b,,NaN
A,B,V11110,GE250,AL,,NaN,3.0,NaN
A,B,V11110,GE250,AT,5.0,NaN,4.0,NaN
A,B,V11110,GE250,BA,13.0,e,14.0,NaN
A,B,V11110,GE250,BE,,NaN,,NaN
A,B,V11110,GE250,BG,14.0,NaN,12.0,NaN
A,B,V11110,GE250,CH,0.0,NaN,2.0,NaN
A,B,V11110,GE250,CY,0.0,NaN,0.0,NaN
A,B,V11110,GE250,CZ,14.0,NaN,14.0,NaN
A,B,V11110,GE250,DE,19.0,NaN,19.0,NaN
A,B,V11110,GE250,DK,2.0,NaN,3.0,NaN
A,B,V11110,GE250,EE,2.0,NaN,2.0,NaN
A,B,V11110,GE250,EL,5.0,NaN,,NaN
A,B,V11110,GE250,ES,12.0,NaN,7.0,NaN
A,B,V11110,GE250,EU27_2007,,NaN,,NaN
A,B,V11110,GE250,EU27_2020,176.0,NaN,146.0,NaN
A,B,V11110,GE250,EU28,223.0,NaN,,NaN
A,B,V11110,GE250,FI,5.0,NaN,5.0,NaN
A,B,V11110,GE250,FR,8.0,NaN,8.0,NaN
A,B,V11110,GE250,HR,2.0,NaN,1.0,NaN
A,B,V11110,GE250,HU,,NaN,,NaN
A,B,V11110,GE250,IE,,NaN,,NaN
A,B,V11110,GE250,IS,0.0,p,0.0,p
A,B,V11110,GE250,IT,4.0,NaN,,NaN
A,B,V11110,GE250,LT,0.0,NaN,0.0,NaN
A,B,V11110,GE250,LU,0.0,NaN,0.0,NaN
A,B,V11110,GE250,LV,1.0,NaN,2.0,NaN
A,B,V11110,GE250,MK,4.0,NaN,,NaN
A,B,V11110,GE250,MT,0.0,NaN,0.0,NaN
A,B,V11110,GE250,NL,9.0,NaN,3.0,NaN
A,B,V11110,GE250,NO,46.0,NaN,38.0,NaN
A,B,V11110,GE250,PL,44.0,NaN,30.0,NaN
A,B,V11110,GE250,PT,4.0,NaN,4.0,NaN
A,B,V11110,GE250,RO,16.0,NaN,13.0,NaN
A,B,V11110,GE250,RS,9.0,p,9.0,NaN
A,B,V11110,GE250,SE,3.0,NaN,3.0,NaN
A,B,V11110,GE250,SI,1.0,NaN,1.0,NaN
A,B,V11110,GE250,SK,,NaN,3.0,NaN
A,B,V11110,GE250,UK,47.0,b,,NaN
A,B,V11110,TOTAL,AL,,NaN,690.0,NaN
A,B,V11110,TOTAL,AT,348.0,NaN,307.0,NaN
A,B,V11110,TOTAL,BA,199.0,e,177.0,NaN
A,B,V11110,TOTAL,BE,192.0,NaN,179.0,NaN
A,B,V11110,TOTAL,BG,357.0,NaN,310.0,NaN
