freq,size_emp,nace_r2,indic_is,unit,geo,2021,2023,2024,2025
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,AT,,7.79,,4.82
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,BA,,21.44,,12.27
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,BE,,19.49,,16.26
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,BG,,3.58,,5.69
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,CY,,15.3,,17.58
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,CZ,,8.88,,17.88
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,DE,,13.67,,11.86
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,DK,,25.89,,21.37
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,EA,,14.4,,17.17
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,EE,,13.17,,20.85
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,EL,,7.79,,8.34
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,ES,,10.7,12.54,14.69
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,EU27_2020,,13.72,,16.28
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,FI,,22.9,,
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,FR,,9.83,,13.63
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,HR,,22.92,,18.25
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,HU,,21.4,,17.63
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,IE,,21.57,,19.91
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,IT,,17.37,,25.72
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,LT,,19.27,,26.82
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,LU,,11.26,,16.24
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,LV,,15.08,,13.61
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,ME,,5.59,,
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,MT,,15.68,,18.94
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,NL,,26.73,,24.78
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,NO,,10.36,,13.07
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,PL,,10.52,,12.17
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,PT,,12.76,,15.14
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,RO,,6.65,,9.03
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,RS,,12.15,,10.49
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,SE,,20.63,,15.92
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,SI,,8.4,,10.61
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,SK,,10.14,,12.18
