freq,product,nrg_cons,unit,tax,currency,geo,2016,2020,flag_2016,flag_2020
S,6000,MWH20-499,KWH,I_TAX,NAC,LT,0.1241,0.13419999999999999,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,LU,0.10955,0.12680000000000002,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,LV,0.16,0.15510000000000002,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,MD,2.0857,1.93035,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,ME,0.10819999999999999,0.11185,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,MK,7.469900000000001,6.653700000000001,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,MT,0.16454999999999997,0.15944999999999998,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,NL,0.14525,0.15975,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,NO,0.91115,0.67015,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,PL,0.5723,0.71405,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,PT,0.18435,0.17304999999999998,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,RO,0.49539999999999995,0.67995,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,RS,10.4589,13.19155,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,SE,0.87555,1.0181,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,SI,0.1264,0.14105,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,SK,0.1617,0.18525,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,TR,0.30245,0.72685,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,UA,,2.2163500000000003,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,UK,0.14525,,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,XK,0.09945000000000001,0.08875,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,AL,,0.2421,NaN,e
S,6000,MWH20-499,KWH,I_TAX,PPS,AT,0.14095000000000002,0.14165,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,BA,0.21234999999999998,0.2072,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,BE,0.17195,0.1655,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,BG,0.26185,0.2103,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,CY,0.18605,0.1959,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,CZ,0.2215,0.236,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,DE,0.2172,0.21639999999999998,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,DK,0.20345000000000002,0.19319999999999998,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,EA,0.1762,0.18445,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,EE,0.15765,0.137,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,EL,0.1882,0.183,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,ES,0.19565,0.1894,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,EU27_2020,,0.1895,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,FI,0.08524999999999999,0.08695,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,FR,0.12355,0.1478,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,HR,0.20925,0.21225,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,HU,0.20650000000000002,0.22385,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,IE,0.1626,0.15515,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,IS,0.06625,0.05625,NaN,e
S,6000,MWH20-499,KWH,I_TAX,PPS,IT,0.21944999999999998,0.2038,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,LT,0.20679999999999998,0.19685000000000002,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,LU,0.0929,0.098,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,LV,0.24085,0.2101,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,ME,0.22244999999999998,0.22175,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,MK,0.29259999999999997,0.2349,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,MT,0.2051,0.18180000000000002,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,NL,0.13415,0.13795,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,NO,0.07050000000000001,0.04425,NaN,NaN
